Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,SUMMARY,1,7,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,The Special Meeting,1,7,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Shares Held by 1Life’s Directors and Executive Officers,3,9,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,The Merger,3,9,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Merger Consideration,5,11,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Recommendation of the 1Life Board of Directors,7,13,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Opinion of Morgan Stanley & Co. LLC,7,13,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Interests of 1Life’s Directors and Executive Officers in the Merger,8,14,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Appraisal Rights,8,14,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,9,15,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Regulatory Approvals Required for the Merger,10,16,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Conduct of Business Pending the Merger,10,16,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Conditions to the Closing of the Merger,11,17,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Termination of the Merger Agreement,11,17,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,QUESTIONS AND ANSWERS,14,20,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,FORWARD-LOOKING STATEMENTS,23,29,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,THE SPECIAL MEETING,25,7,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,"Date, Time and Place",25,31,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Purpose of the Special Meeting,25,31,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Record Date; Shares Entitled to Vote; Quorum,25,31,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Vote Required; Abstentions and Failure to Vote,25,31,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Shares Held by 1Life’s Directors and Executive Officers,26,32,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Voting of Proxies,26,32,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Revocability of Proxies,27,33,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Adjournments and Recess,28,34,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Board of Directors’ Recommendation,28,34,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Solicitation of Proxies,28,34,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Anticipated Date of Completion of the Merger,28,34,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Delisting and Deregistration of 1Life Common Stock,28,34,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,"Important Notice Regarding the Availability of Proxy Materials for the Stockholder Meeting to be Held on September 22, 2022",29,35,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Questions and Additional Information,29,35,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,THE MERGER,30,9,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Parties Involved in the Merger,30,36,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Effect of the Merger,31,37,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Effect on 1Life if the Merger is Not Completed,31,37,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Merger Consideration,31,37,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Background of the Merger,32,38,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Recommendation of the Board of Directors and Reasons for the Merger,41,47,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Interests of 1Life’s Directors and Executive Officers in the Merger,58,64,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Insurance and Indemnification of Directors and Executive Officers,60,66,UNDEFINED,UNDEFINED
1Life Healthcare Inc_20220824_DEFM14A_20299948_4508791.Pdf,Payments Upon Termination at or Following Change in Control,62,68,UNDEFINED,UNDEFINED
