Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,SUMMARY,1,8,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,QUESTIONS AND ANSWERS ABOUT THE SPECIAL MEETING AND THE MERGER,8,15,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,CAUTIONARY STATEMENT REGARDING FORWARD-LOOKING STATEMENTS,14,21,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,THE COMPANIES,16,23,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Alleghany Corporation,16,23,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Berkshire Hathaway Inc.,16,23,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,O&M Acquisition Corp.,16,23,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,THE SPECIAL MEETING,17,15,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,"Date, Time and Place of the Special Meeting",17,24,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Purposes of the Special Meeting,17,24,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Recommendation of the Company’s Board of Directors,17,24,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Record Date and Quorum,18,25,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Required Vote,18,25,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Voting by the Company’s Directors and Executive Officers,18,25,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Voting; Proxies; Revocation,18,25,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Abstentions,20,27,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Adjournments and Postponements,20,27,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Solicitation of Proxies,21,28,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Other Information,21,28,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,THE MERGER (PROPOSAL 1),22,29,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Certain Effects of the Merger,22,29,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Background of the Merger,22,29,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Reasons for the Merger,26,33,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Recommendation of the Company’s Board of Directors,29,36,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Opinion of the Company’s Financial Advisor,29,36,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Unaudited Prospective Financial Information,35,42,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Financing,37,44,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Interests of the Company’s Directors and Executive Officers in the Merger,37,44,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,43,50,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Regulatory Approvals,45,52,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Delisting and Deregistration of Company Common Stock,46,53,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Litigation Related to the Merger,46,53,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,THE MERGER AGREEMENT,47,54,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Explanatory Note Regarding the Merger Agreement,47,54,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Structure of the Merger; Certificate of Incorporation; Bylaws; Directors and Officers,47,54,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Closing and Effective Time of the Merger,47,54,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Effect of the Merger on Capital Stock,48,55,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Treatment of Company Equity Awards,48,55,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Dissenting Shares,49,56,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Payment; Surrender of Shares; Stock Transfer Books,49,56,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Representations and Warranties,50,57,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Covenants Related to the Conduct of Business,53,60,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Go-Shop; No Solicitation by the Company,54,61,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Other Covenants and Agreements,56,63,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Employee Matters,57,64,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Other Covenants,58,63,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Conditions to the Merger,58,65,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Termination,59,66,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Amendments and Waivers,60,67,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Expenses,60,67,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Specific Performance,61,68,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,Governing Law and Jurisdiction; Waiver of Jury Trial,61,68,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,ADVISORY VOTE ON NAMED EXECUTIVE OFFICER MERGER-RELATED COMPENSATION (PROPOSAL 2),62,69,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,VOTE ON ADJOURNMENT (PROPOSAL 3),63,70,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,MARKET PRICE OF THE COMPANY COMMON STOCK,64,71,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,SECURITY OWNERSHIP OF CERTAIN BENEFICIAL OWNERS AND MANAGEMENT,65,72,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,APPRAISAL RIGHTS,67,74,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,MULTIPLE STOCKHOLDERS SHARING ONE ADDRESS,71,78,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,SUBMISSION OF STOCKHOLDER PROPOSALS,71,78,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,WHERE YOU CAN FIND ADDITIONAL INFORMATION,72,79,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,ANNEX A Agreement and Plan of Merger,A-1,84,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,ANNEX B Opinion of Goldman Sachs & Co. LLC,B-1,126,UNDEFINED,UNDEFINED
ALLEGHANY CORP DE_20220429_DEFM14A_20052995_4452227.Pdf,ANNEX C Section 262 of the DGCL - Appraisal Rights,C-1,129,UNDEFINED,UNDEFINED
