Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,SUMMARY,1,7,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,The Parties to the Mergers,1,7,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,The Special Meeting,3,9,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,The Mergers,4,7,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,Recommendation of Our Board of Directors,5,11,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,Opinion of Our Financial Advisor,5,11,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,Treatment of Common Stock and Compensatory Awards,6,12,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,Treatment of Interests in the Partnership,6,12,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,Financing,7,13,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,Interests of Our Directors and Executive Officers in the Mergers,7,13,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,No Solicitation of Competing Proposals,8,14,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,Conditions to the Mergers,8,14,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,Termination of the Merger Agreement,9,15,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,Termination Payments,11,17,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,Limited Guarantee and Remedies,12,18,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,Regulatory Matters,12,18,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,No Dissenters’ Rights of Appraisal,13,19,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,Litigation Related to the Mergers,13,19,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,Material U.S. Federal Income Tax Consequences,14,20,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,Delisting of our Common Stock and Deregistration of Our Common Stock,14,20,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,QUESTIONS AND ANSWERS ABOUT THE SPECIAL MEETING AND THE MERGERS,15,21,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,CAUTIONARY STATEMENT REGARDING FORWARD-LOOKING STATEMENTS,22,28,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,PROPOSAL 1 MERGER PROPOSAL,24,30,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,PROPOSAL 2 ADVISORY COMPENSATION PROPOSAL,25,31,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,PROPOSAL 3 ADJOURNMENT PROPOSAL,26,32,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,THE PARTIES TO THE MERGERS,27,7,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,THE SPECIAL MEETING,29,9,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,"Date, Time and Purpose of the Special Meeting",29,35,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,"Record Date, Notice and Quorum",29,35,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,Required Vote,29,35,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,How to Authorize a Proxy,30,36,UNDEFINED,UNDEFINED
AMERICAN CAMPUS COMMUNITIES INC_20220616_DEFM14A_20169998_4477606.Pdf,Proxies and Revocation,31,37,UNDEFINED,UNDEFINED
