Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,SUMMARY,1,9,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,The Special Meeting,1,9,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Vote Required; Abstentions and Broker Non-Votes,2,10,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Shares Held by Arena’s Directors and Executive Officers,2,10,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,The Merger,2,10,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Parties Involved in the Merger,2,10,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Effect of the Merger,3,11,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Effect on Arena if the Merger is Not Completed,3,11,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Merger Consideration,3,11,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Recommendation of the Arena Board of Directors,5,13,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Opinion of Evercore Group L.L.C.,5,13,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,"Opinion of Guggenheim Securities, LLC",6,14,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Interests of Arena’s Directors and Executive Officers in the Merger,6,14,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Appraisal Rights,7,15,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,7,15,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Regulatory Approvals Required for the Merger,8,16,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Conduct of Business Pending the Merger,8,16,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Conditions to the Closing of the Merger,8,16,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Termination of the Merger Agreement,9,17,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,QUESTIONS AND ANSWERS,10,18,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,FORWARD-LOOKING STATEMENTS,16,24,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,THE SPECIAL MEETING,17,9,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,"Date, Time and Place",17,25,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Purpose of the Special Meeting,17,25,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Record Date; Shares Entitled to Vote; Quorum,17,25,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Vote Required; Abstentions and Broker Non-Votes,17,25,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Shares Held by Arena’s Directors and Executive Officers,18,26,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Voting of Proxies,18,26,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Revocability of Proxies,18,26,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Adjournments and Recess,19,27,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Board of Directors’ Recommendation,19,27,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Solicitation of Proxies,19,27,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Anticipated Date of Completion of the Merger,19,27,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,"Important Notice Regarding the Availability of Proxy Materials for the Stockholder Meeting to be Held on February 2, 2022",20,28,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Questions and Additional Information,20,28,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,THE MERGER,21,10,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Parties Involved in the Merger,21,29,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Effect of the Merger,21,29,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Effect on Arena if the Merger is Not Completed,21,29,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Merger Consideration,22,30,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Background of the Merger,22,30,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Recommendation of the Board of Directors and Reasons for the Merger,30,38,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,Opinion of Evercore Group L.L.C.,36,44,UNDEFINED,UNDEFINED
ARENA PHARMACEUTICALS INC_20220103_DEFM14A_19751337_4360734.Pdf,"Opinion of Guggenheim Partners, LLC.",42,50,UNDEFINED,UNDEFINED
