Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
ATLAS AIR WORLDWIDE HOLDINGS INC_20221019_DEFM14A_20395325_4531934.Pdf,SUMMARY,2,9,UNDEFINED,UNDEFINED
ATLAS AIR WORLDWIDE HOLDINGS INC_20221019_DEFM14A_20395325_4531934.Pdf,The Parties,2,9,UNDEFINED,UNDEFINED
ATLAS AIR WORLDWIDE HOLDINGS INC_20221019_DEFM14A_20395325_4531934.Pdf,The Special Meeting,3,11,UNDEFINED,UNDEFINED
ATLAS AIR WORLDWIDE HOLDINGS INC_20221019_DEFM14A_20395325_4531934.Pdf,Record Date and Stockholders Entitled to Vote; Vote Required to Approve Each Proposal,3,11,UNDEFINED,UNDEFINED
ATLAS AIR WORLDWIDE HOLDINGS INC_20221019_DEFM14A_20395325_4531934.Pdf,"Voting by Company Directors, Executive Officers and Principal Securityholders",4,12,UNDEFINED,UNDEFINED
ATLAS AIR WORLDWIDE HOLDINGS INC_20221019_DEFM14A_20395325_4531934.Pdf,The Merger; Certain Effects of the Merger; Consideration To Be Received in the Merger,4,12,UNDEFINED,UNDEFINED
ATLAS AIR WORLDWIDE HOLDINGS INC_20221019_DEFM14A_20395325_4531934.Pdf,Background of the Merger,5,13,UNDEFINED,UNDEFINED
ATLAS AIR WORLDWIDE HOLDINGS INC_20221019_DEFM14A_20395325_4531934.Pdf,Recommendation of the Board,5,13,UNDEFINED,UNDEFINED
ATLAS AIR WORLDWIDE HOLDINGS INC_20221019_DEFM14A_20395325_4531934.Pdf,Opinion of the Company’s Financial Advisor,6,14,UNDEFINED,UNDEFINED
ATLAS AIR WORLDWIDE HOLDINGS INC_20221019_DEFM14A_20395325_4531934.Pdf,Effects on the Company if the Merger Is Not Consummated,6,14,UNDEFINED,UNDEFINED
ATLAS AIR WORLDWIDE HOLDINGS INC_20221019_DEFM14A_20395325_4531934.Pdf,Financing of the Merger,7,15,UNDEFINED,UNDEFINED
ATLAS AIR WORLDWIDE HOLDINGS INC_20221019_DEFM14A_20395325_4531934.Pdf,Limited Guarantees,8,16,UNDEFINED,UNDEFINED
ATLAS AIR WORLDWIDE HOLDINGS INC_20221019_DEFM14A_20395325_4531934.Pdf,Interests of the Company’s Directors and Executive Officers in the Merger,8,16,UNDEFINED,UNDEFINED
ATLAS AIR WORLDWIDE HOLDINGS INC_20221019_DEFM14A_20395325_4531934.Pdf,Treatment of Company Long-Term Incentive Awards,9,17,UNDEFINED,UNDEFINED
ATLAS AIR WORLDWIDE HOLDINGS INC_20221019_DEFM14A_20395325_4531934.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,9,17,UNDEFINED,UNDEFINED
ATLAS AIR WORLDWIDE HOLDINGS INC_20221019_DEFM14A_20395325_4531934.Pdf,Litigation Related to the Merger,10,18,UNDEFINED,UNDEFINED
