Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
"AVALARA, INC._20220912_DEFM14A_20334857_4516123.Pdf",SUMMARY,1,9,UNDEFINED,UNDEFINED
"AVALARA, INC._20220912_DEFM14A_20334857_4516123.Pdf",QUESTIONS AND ANSWERS ABOUT THE SPECIAL MEETING AND THE MERGER,15,23,UNDEFINED,UNDEFINED
"AVALARA, INC._20220912_DEFM14A_20334857_4516123.Pdf",CAUTIONARY STATEMENT REGARDING FORWARD-LOOKING STATEMENTS,23,31,UNDEFINED,UNDEFINED
"AVALARA, INC._20220912_DEFM14A_20334857_4516123.Pdf",THE PARTIES TO THE MERGER,25,33,UNDEFINED,UNDEFINED
"AVALARA, INC._20220912_DEFM14A_20334857_4516123.Pdf",THE SPECIAL MEETING,26,23,UNDEFINED,UNDEFINED
"AVALARA, INC._20220912_DEFM14A_20334857_4516123.Pdf",THE MERGER,32,23,UNDEFINED,UNDEFINED
"AVALARA, INC._20220912_DEFM14A_20334857_4516123.Pdf",Structure of the Merger,32,40,UNDEFINED,UNDEFINED
"AVALARA, INC._20220912_DEFM14A_20334857_4516123.Pdf",Merger Consideration — What Shareholders Will Receive in the Merger,32,40,UNDEFINED,UNDEFINED
"AVALARA, INC._20220912_DEFM14A_20334857_4516123.Pdf",Treatment of Avalara Equity Awards,32,40,UNDEFINED,UNDEFINED
"AVALARA, INC._20220912_DEFM14A_20334857_4516123.Pdf",Effects on Avalara if the Merger Is Not Completed,33,41,UNDEFINED,UNDEFINED
"AVALARA, INC._20220912_DEFM14A_20334857_4516123.Pdf",Background of the Merger,33,41,UNDEFINED,UNDEFINED
"AVALARA, INC._20220912_DEFM14A_20334857_4516123.Pdf",Recommendation of the Board and Reasons for the Merger,46,54,UNDEFINED,UNDEFINED
"AVALARA, INC._20220912_DEFM14A_20334857_4516123.Pdf",Opinion of Goldman Sachs & Co. LLC,53,61,UNDEFINED,UNDEFINED
"AVALARA, INC._20220912_DEFM14A_20334857_4516123.Pdf",Financial Projections,62,70,UNDEFINED,UNDEFINED
"AVALARA, INC._20220912_DEFM14A_20334857_4516123.Pdf",Interests of Avalara’s Executive Officers and Directors in the Merger,65,73,UNDEFINED,UNDEFINED
"AVALARA, INC._20220912_DEFM14A_20334857_4516123.Pdf",Treatment of Director and Executive Officer Common Stock,66,74,UNDEFINED,UNDEFINED
"AVALARA, INC._20220912_DEFM14A_20334857_4516123.Pdf",Treatment of Director and Executive Officer Equity Awards,66,74,UNDEFINED,UNDEFINED
"AVALARA, INC._20220912_DEFM14A_20334857_4516123.Pdf",Change in Control Severance Payments and Other Termination Benefits,68,76,UNDEFINED,UNDEFINED
"AVALARA, INC._20220912_DEFM14A_20334857_4516123.Pdf",Financing of the Merger,71,79,UNDEFINED,UNDEFINED
"AVALARA, INC._20220912_DEFM14A_20334857_4516123.Pdf",Limited Guarantees,72,80,UNDEFINED,UNDEFINED
"AVALARA, INC._20220912_DEFM14A_20334857_4516123.Pdf",Regulatory Clearances and Approvals Required for the Merger,72,80,UNDEFINED,UNDEFINED
"AVALARA, INC._20220912_DEFM14A_20334857_4516123.Pdf",Litigation Related to the Merger,73,81,UNDEFINED,UNDEFINED
"AVALARA, INC._20220912_DEFM14A_20334857_4516123.Pdf",Material U.S. Federal Income Tax Consequences of the Merger,73,81,UNDEFINED,UNDEFINED
