Document,Section Header,Section Text,Page Number
"Activision Blizzard, Inc._20220321_DEFM14A_19960426_4418687.Pdf",PROXY SUMMARY,UNDEFINED,1
"Activision Blizzard, Inc._20220321_DEFM14A_19960426_4418687.Pdf",Parties Involved in the Merger,UNDEFINED,1
"Activision Blizzard, Inc._20220321_DEFM14A_19960426_4418687.Pdf",Certain Effects of the Merger on Activision Blizzard,UNDEFINED,2
"Activision Blizzard, Inc._20220321_DEFM14A_19960426_4418687.Pdf",Effect on Activision Blizzard if the Merger is Not Completed,UNDEFINED,3
"Activision Blizzard, Inc._20220321_DEFM14A_19960426_4418687.Pdf",Merger Consideration,UNDEFINED,3
"Activision Blizzard, Inc._20220321_DEFM14A_19960426_4418687.Pdf",The Special Meeting,UNDEFINED,3
"Activision Blizzard, Inc._20220321_DEFM14A_19960426_4418687.Pdf",Recommendation of Our Board of Directors and Reasons for the Merger,UNDEFINED,5
"Activision Blizzard, Inc._20220321_DEFM14A_19960426_4418687.Pdf",Opinion of Activision Blizzard’s Financial Advisor,UNDEFINED,6
"Activision Blizzard, Inc._20220321_DEFM14A_19960426_4418687.Pdf",Financing of the Merger,UNDEFINED,6
"Activision Blizzard, Inc._20220321_DEFM14A_19960426_4418687.Pdf",Treatment of Equity Compensation,UNDEFINED,6
"Activision Blizzard, Inc._20220321_DEFM14A_19960426_4418687.Pdf",Interests of the Non-Employee Directors and Executive Officers of Activision Blizzard in the Merger,UNDEFINED,8
"Activision Blizzard, Inc._20220321_DEFM14A_19960426_4418687.Pdf",Appraisal Rights,UNDEFINED,8
"Activision Blizzard, Inc._20220321_DEFM14A_19960426_4418687.Pdf",U.S. Federal Income Tax Consequences of the Merger,UNDEFINED,9
"Activision Blizzard, Inc._20220321_DEFM14A_19960426_4418687.Pdf",Regulatory Approvals,UNDEFINED,9
"Activision Blizzard, Inc._20220321_DEFM14A_19960426_4418687.Pdf",Legal Proceedings Regarding the Merger,UNDEFINED,9
