Document,Section Header,Section Text,Page Number
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,SUMMARY TERM SHEET,UNDEFINED,1
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,QUESTIONS AND ANSWERS ABOUT THE SPECIAL MEETING OF STOCKHOLDERS AND THE MERGER,UNDEFINED,13
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,CAUTIONARY NOTE REGARDING FORWARD-LOOKING STATEMENTS,UNDEFINED,24
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,THE SPECIAL MEETING,UNDEFINED,26
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,"Date, Time and Place",UNDEFINED,26
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Purpose of the Special Meeting,UNDEFINED,26
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Record Date; Shares Entitled to Vote; Quorum,UNDEFINED,26
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Vote Required; Abstentions and Broker Non-Votes,UNDEFINED,26
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Stock Ownership and Interests of Certain Persons,UNDEFINED,27
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Voting at the Special Meeting,UNDEFINED,27
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Revocability of Proxies,UNDEFINED,28
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Board’s Recommendation,UNDEFINED,29
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Solicitation of Proxies,UNDEFINED,29
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Anticipated Date of Completion of the Merger,UNDEFINED,29
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Appraisal Rights,UNDEFINED,29
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Delisting and Deregistration of Altra Common Stock,UNDEFINED,30
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Other Matters,UNDEFINED,30
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Householding of Special Meeting Materials,UNDEFINED,30
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Questions and Additional Information,UNDEFINED,31
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,PROPOSAL 1: ADOPTION OF THE MERGER AGREEMENT,UNDEFINED,32
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Parties Involved in the Merger,UNDEFINED,32
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Effect of the Merger,UNDEFINED,32
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Effect on Altra If the Merger Is Not Completed,UNDEFINED,33
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Merger Consideration,UNDEFINED,33
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Background of the Merger,UNDEFINED,34
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Recommendation of the Board and Reasons for the Merger,UNDEFINED,41
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Opinion of Goldman Sachs,UNDEFINED,46
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Certain Financial Forecasts,UNDEFINED,52
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Interests of Altra’s Directors and Executive Officers in the Merger,UNDEFINED,55
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Financing of the Merger,UNDEFINED,62
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Closing and Effective Time,UNDEFINED,63
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Accounting Treatment,UNDEFINED,63
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Appraisal Rights,UNDEFINED,63
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Litigation Related to the Merger,UNDEFINED,67
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,UNDEFINED,68
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Regulatory Approvals Required for the Merger,UNDEFINED,72
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,THE MERGER AGREEMENT,UNDEFINED,74
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Explanatory Note Regarding the Merger Agreement,UNDEFINED,74
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Effects of the Merger,UNDEFINED,74
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Closing and Effective Time of the Merger,UNDEFINED,75
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Consideration To Be Received in the Merger,UNDEFINED,75
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Excluded Shares,UNDEFINED,75
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Treatment of Company Equity-Based Awards,UNDEFINED,76
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Exchange and Payment Procedures,UNDEFINED,77
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Representations and Warranties,UNDEFINED,78
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Covenants Regarding Conduct of Business by the Company Pending the Effective Time,UNDEFINED,81
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Restrictions on Solicitation of Takeover Proposals; The Board’s Recommendation; Change of Recommendation,UNDEFINED,84
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Efforts to Obtain the Company Stockholder Approval,UNDEFINED,89
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Efforts to Consummate the Merger,UNDEFINED,89
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Company Indebtedness,UNDEFINED,91
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Financing,UNDEFINED,92
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Indemnification and Insurance,UNDEFINED,93
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Employee Benefits Matters,UNDEFINED,93
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Additional Agreements,UNDEFINED,95
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Conditions to the Closing of the Merger,UNDEFINED,95
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Termination of the Merger Agreement,UNDEFINED,96
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Termination Fees,UNDEFINED,97
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Fees and Expenses,UNDEFINED,98
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Withholding Taxes,UNDEFINED,99
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Amendment,UNDEFINED,99
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Extension; Waiver,UNDEFINED,99
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Governing Law,UNDEFINED,99
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Specific Enforcement,UNDEFINED,99
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,PROPOSAL 2: THE COMPENSATION PROPOSAL,UNDEFINED,100
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,PROPOSAL 3: THE ADJOURNMENT PROPOSAL,UNDEFINED,101
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,SECURITY OWNERSHIP OF CERTAIN BENEFICIAL OWNERS AND MANAGEMENT,UNDEFINED,102
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,FUTURE STOCKHOLDER PROPOSALS,UNDEFINED,104
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,WHERE YOU CAN FIND MORE INFORMATION,UNDEFINED,105
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,MISCELLANEOUS,UNDEFINED,106
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,"Annex A Agreement and Plan of Merger, dated as of October 26, 2022",UNDEFINED,A-1
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Annex B Opinion of Goldman Sachs & Co. LLC,UNDEFINED,B-1
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,"Notwithstanding the foregoing restrictions, if, prior to the adoption of the Merger Agreement by Altra stockholders Altra receives a Takeover Proposal that did not result from a breach of the foregoing restrictions, Altra may furnish information pursuant to an Acceptable Confidentiality Agreement",UNDEFINED,Not mentioned
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,"Prior to the adoption of the Merger Agreement by Altra stockholders, Altra is entitled to terminate the Merger Agreement",UNDEFINED,Not mentioned
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,The termination of the Merger Agreement by Altra in connection with the Board’s authorization for Altra to enter into a definitive agreement to effect a Superior Proposal,UNDEFINED,Not mentioned
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,Termination of the Merger Agreement,UNDEFINED,96
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,"In addition to the circumstances described above, Parent and Altra have certain rights to terminate the Merger Agreement under customary circumstances",UNDEFINED,Not mentioned
Altra Industrial Motion Corp._20221214_DEFM14A_20506388_4559723.Pdf,"Under certain circumstances, Altra will be required to pay Parent a termination fee equal to $100 million and, under certain other circumstances, Parent will be required to pay Altra a termination fee equal to $200 million",UNDEFINED,Not mentioned
