Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",SUMMARY,1,8,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Parties Involved in the Merger,1,8,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",The Special Meeting,2,9,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",The Merger,3,8,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Treatment of Equity-Based Awards,3,10,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Financing of the Merger,4,11,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Conditions to the Closing of the Merger,5,12,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Regulatory Approvals Required for the Merger,5,12,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Recommendation of the Board of Directors,6,13,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Opinions of Anaplan’s Financial Advisors,6,13,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Interests of Anaplan’s Directors and Executive Officers in the Merger,7,14,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Appraisal Rights,8,15,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Material U.S. Federal Income Tax Consequences of the Merger,9,16,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Legal Proceedings Regarding the Merger,9,16,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Acquisition Proposals,9,16,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",The Board of Directors’ Recommendation; Change in Recommendation,10,17,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Termination of the Merger Agreement,10,17,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Termination Fees,11,18,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Effect on Anaplan if the Merger is Not Completed,12,19,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",QUESTIONS AND ANSWERS,13,20,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",FORWARD-LOOKING STATEMENTS,22,29,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",THE SPECIAL MEETING,24,9,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf","Date, Time and Place",24,31,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Purpose of the Special Meeting,24,31,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Record Date; Shares Entitled to Vote; Quorum,24,31,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Vote Required; Abstentions and Broker Non-Votes,24,31,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Shares Held by Anaplan’s Directors and Executive Officers,25,32,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Voting of Proxies,25,32,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Revocability of Proxies,26,33,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Board of Directors’ Recommendation,26,17,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Solicitation of Proxies,26,33,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Anticipated Date of Completion of the Merger,27,34,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Appraisal Rights,27,34,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Other Matters,27,34,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Householding of Special Meeting Materials,28,35,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Questions and Additional Information,28,35,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",PROPOSAL 1: ADOPTION OF THE MERGER AGREEMENT,29,36,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",PROPOSAL 2: ADJOURNMENT OF THE SPECIAL MEETING,30,37,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf","PROPOSAL 3: ADVISORY, NON-BINDING VOTE ON MERGER-RELATED EXECUTIVE COMPENSATION ARRANGEMENTS",31,38,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",THE MERGER,32,8,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Parties Involved in the Merger,32,39,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Effect of the Merger,33,40,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Effect on Anaplan if the Merger is Not Completed,33,40,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Merger Consideration,33,40,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Background of the Merger,34,41,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Recommendation of the Board of Directors and Reasons for the Merger,47,54,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Opinions of Anaplan’s Financial Advisors,54,61,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Certain Financial Projections,68,75,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Interests of Anaplan’s Directors and Executive Officers in the Merger,71,78,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Financing of the Merger,77,84,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Limited Guaranty,78,85,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Closing and Effective Time,79,86,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Appraisal Rights,79,86,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Accounting Treatment,84,91,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Material U.S. Federal Income Tax Consequences of the Merger,84,91,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Regulatory Approvals Required for the Merger,87,94,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Legal Proceedings Regarding the Merger,87,94,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",THE MERGER AGREEMENT,89,96,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Explanatory Note Regarding the Merger Agreement,89,96,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Effects of the Merger; Directors and Officers; Certificate of Incorporation; Bylaws,89,96,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Closing and Effective Time,90,97,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Merger Consideration,90,97,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Exchange and Payment Procedures,92,99,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Representations and Warranties,92,99,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Conduct of Business Pending the Merger,95,102,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Acquisition Proposals,98,105,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",The Board of Directors’ Recommendation; Change in Recommendation,100,107,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Employee Benefits,103,110,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Financing Efforts,104,111,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Other Investors,107,114,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Management,107,114,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Efforts to Close the Merger,107,114,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Indemnification and Insurance,109,116,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Conditions to the Closing of the Merger,109,116,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Termination of the Merger Agreement,111,118,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Termination Fees,112,119,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Specific Performance,113,120,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Fees and Expenses,114,121,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Amendment,114,121,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",Governing Law,114,121,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",SECURITY OWNERSHIP OF CERTAIN BENEFICIAL OWNERS AND MANAGEMENT,115,122,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",FUTURE STOCKHOLDER PROPOSALS,118,125,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",WHERE YOU CAN FIND MORE INFORMATION,119,126,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",MISCELLANEOUS,120,127,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",ANNEX A: THE MERGER AGREEMENT,A-1,128,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",ANNEX B: FAIRNESS OPINION OF GOLDMAN SACHS,B-1,203,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",ANNEX C: FAIRNESS OPINION OF QATALYST PARTNERS,C-1,207,UNDEFINED,UNDEFINED
"Anaplan, Inc._20220502_DEFM14A_20059827_4454121.Pdf",ANNEX D: SECTION 262 OF THE GENERAL CORPORATION LAW OF THE STATE OF DELAWARE,D-1,210,UNDEFINED,UNDEFINED
