Document,Section Header,Section Text,Page Number
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,SUMMARY,UNDEFINED,1
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Parties Involved in the Merger,UNDEFINED,28
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,The Merger,UNDEFINED,28
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,The Special Meeting,UNDEFINED,20
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Reasons for the Merger; Recommendation of the Archaea Board,UNDEFINED,39
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Opinion of the Company’s Financial Advisor,UNDEFINED,43
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Certain Effects of the Merger,UNDEFINED,50
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Effects on the Company if the Merger is Not Completed,UNDEFINED,51
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Treatment of Equity Awards,UNDEFINED,63
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Interests of the Company’s Directors and Executive Officers in the Merger,UNDEFINED,51
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Archaea Common Stock Ownership of Directors and Executive Officers,UNDEFINED,87
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Voting Agreement,UNDEFINED,85
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Conditions of the Merger,UNDEFINED,80
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Regulatory Approvals Required for the Merger,UNDEFINED,60
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,No-Shop; Archaea Board Recommendation Change,UNDEFINED,71
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Termination,UNDEFINED,81
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Termination Fees,UNDEFINED,83
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Appraisal Rights,UNDEFINED,89
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Accounting Treatment,UNDEFINED,57
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Material U.S. Federal Income Tax Considerations,UNDEFINED,57
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Additional Information,UNDEFINED,96
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,QUESTIONS AND ANSWERS ABOUT THE SPECIAL MEETING AND THE MERGER,UNDEFINED,11
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,CAUTIONARY NOTE REGARDING FORWARD-LOOKING STATEMENTS,UNDEFINED,18
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,THE SPECIAL MEETING,UNDEFINED,20
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,"Date, Time and Place",UNDEFINED,20
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Purpose of the Special Meeting,UNDEFINED,20
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Recommendation of the Archaea Board,UNDEFINED,20
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Record Date and Stockholders Entitled to Vote,UNDEFINED,20
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Quorum,UNDEFINED,21
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Vote Required,UNDEFINED,21
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Voting Procedures,UNDEFINED,22
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Revocation of Proxies,UNDEFINED,22
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Voting in Person,UNDEFINED,23
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Solicitation of Proxies,UNDEFINED,23
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Adjournments,UNDEFINED,24
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Voting by Company Directors and Executive Officers,UNDEFINED,24
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Voting Agreement,UNDEFINED,24
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Assistance; Proxy Solicitor,UNDEFINED,25
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,PROPOSAL 1: MERGER PROPOSAL,UNDEFINED,26
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,PROPOSAL 2: ADJOURNMENT PROPOSAL,UNDEFINED,27
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,THE MERGER,UNDEFINED,28
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Parties Involved in the Merger,UNDEFINED,28
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,General Description of the Merger,UNDEFINED,29
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Background of the Merger,UNDEFINED,30
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Reasons for the Merger; Recommendation of the Archaea Board,UNDEFINED,39
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Opinion of the Company’s Financial Advisor,UNDEFINED,43
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Certain Financial Projections,UNDEFINED,48
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Certain Effects of the Merger,UNDEFINED,50
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Effects on the Company if the Merger is Not Completed,UNDEFINED,51
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Interests of the Company’s Directors and Executive Officers in the Merger,UNDEFINED,51
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Accounting Treatment,UNDEFINED,57
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Material U.S. Federal Income Tax Considerations,UNDEFINED,57
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Regulatory Approvals Required for the Merger,UNDEFINED,60
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Delisting and Deregistration of Class A Common Stock,UNDEFINED,60
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,THE MERGER AGREEMENT,UNDEFINED,61
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,The Merger,UNDEFINED,61
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Closing and Effective Time of the Merger,UNDEFINED,61
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Certificate of Incorporation and Bylaws; Directors and Officers,UNDEFINED,61
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Consideration to be Received in the Merger,UNDEFINED,62
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Treatment of Equity-Based Awards in the Merger,UNDEFINED,63
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Procedure for Receiving Merger Consideration,UNDEFINED,63
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Representations and Warranties,UNDEFINED,64
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,Covenants Regarding Conduct of Business by the Company Until the Effective Time,UNDEFINED,67
Archaea Energy Inc._20221114_DEFM14A_20445339_4545162.Pdf,No-Shop; Archaea Board Recommendation Change,UNDEFINED,71
