Document,Section Header,Section Text,Page Number
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,SUMMARY,UNDEFINED,1
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Parties Involved in the Merger,UNDEFINED,1
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,The Merger,UNDEFINED,2
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,"Treatment of Restricted Stock Awards, Restricted Stock Unit Awards and Stock Options",UNDEFINED,2
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Financing of the Merger,UNDEFINED,3
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Conditions to the Closing of the Merger,UNDEFINED,3
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Regulatory Approvals Required for the Merger,UNDEFINED,4
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Recommendation of the Board of Directors,UNDEFINED,4
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Opinion of Bottomline’s Financial Advisor,UNDEFINED,4
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Interests of Bottomline’s Directors and Executive Officers in the Merger,UNDEFINED,5
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Appraisal Rights,UNDEFINED,5
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,U.S. Federal Income Tax Consequences of the Merger,UNDEFINED,6
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Legal Proceedings Regarding the Merger,UNDEFINED,7
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Acquisition Proposals,UNDEFINED,7
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Company Board Recommendation Change,UNDEFINED,8
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Termination of the Merger Agreement,UNDEFINED,8
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Termination Fees and Expense Reimbursement,UNDEFINED,10
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Effect on Bottomline if the Merger is Not Completed,UNDEFINED,10
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,The Special Meeting,UNDEFINED,10
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,QUESTIONS AND ANSWERS,UNDEFINED,13
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,FORWARD-LOOKING STATEMENTS,UNDEFINED,22
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,THE SPECIAL MEETING,UNDEFINED,23
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,"Date, Time and Place",UNDEFINED,23
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Purpose of the Special Meeting,UNDEFINED,23
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Record Date; Shares Entitled to Vote; Quorum,UNDEFINED,23
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Vote Required; Abstentions and Broker Non-Votes,UNDEFINED,23
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Shares Held by Bottomline’s Directors and Executive Officers; Voting Agreement,UNDEFINED,24
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Voting of Proxies,UNDEFINED,24
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Revocability of Proxies,UNDEFINED,25
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Board of Directors’ Recommendation,UNDEFINED,25
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Solicitation of Proxies,UNDEFINED,25
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Anticipated Date of Completion of the Merger,UNDEFINED,26
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Appraisal Rights,UNDEFINED,26
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Other Matters,UNDEFINED,27
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Householding of Special Meeting Materials,UNDEFINED,27
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,Questions and Additional Information,UNDEFINED,27
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,PROPOSAL 1: ADOPTION OF THE MERGER AGREEMENT,UNDEFINED,28
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,PROPOSAL 2: ADJOURNMENT OF THE SPECIAL MEETING,UNDEFINED,29
BOTTOMLINE TECHNOLOGIES INC_20220202_DEFM14A_19817567_4374090.Pdf,"PROPOSAL 3: ADVISORY, NON-BINDING VOTE ON MERGER-RELATED EXECUTIVE COMPENSATION ARRANGEMENTS",UNDEFINED,30
