Document,Section Header,Section Text,Page Number
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,Termination Fee Payable by Billtrust and Reverse Termination Fee Payable by Parent,UNDEFINED,77
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,Remedies; Maximum Liability,UNDEFINED,78
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,Specific Performance,UNDEFINED,78
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,Fees and Expenses,UNDEFINED,79
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,Amendments and Waivers,UNDEFINED,79
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,"Governing Law and Venue, Waiver of Jury Trial",UNDEFINED,79
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,Voting and Support Agreements,UNDEFINED,80
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,Rollover and Contribution Agreements,UNDEFINED,82
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,Restrictive Covenant Agreements,UNDEFINED,82
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,MARKET PRICES OF BILLTRUST COMMON STOCK,UNDEFINED,83
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,Dividend Policy,UNDEFINED,83
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,APPRAISAL RIGHTS OF STOCKHOLDERS,UNDEFINED,84
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,ADVISORY VOTE ON NAMED EXECUTIVE OFFICER MERGER-RELATED COMPENSATION ARRANGEMENTS (PROPOSAL 2),UNDEFINED,88
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,VOTE ON ADJOURNMENT (PROPOSAL 3),UNDEFINED,89
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,SECURITY OWNERSHIP OF CERTAIN BENEFICIAL OWNERS AND MANAGEMENT,UNDEFINED,90
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,MATERIAL U.S. FEDERAL INCOME TAX CONSEQUENCES OF THE MERGER,UNDEFINED,92
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,FUTURE BILLTRUST STOCKHOLDER PROPOSALS,UNDEFINED,95
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,MULTIPLE STOCKHOLDERS SHARING ONE ADDRESS,UNDEFINED,96
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,WHERE YOU CAN FIND MORE INFORMATION,UNDEFINED,97
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,MISCELLANEOUS,UNDEFINED,98
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,Annex A-Merger Agreement,UNDEFINED,A-1
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,Annex B-Opinion of J.P. Morgan Securities LLC,UNDEFINED,B-1
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,Annex C-Section 262 of the DGCL,UNDEFINED,C-1
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,Annex D-Voting and Support Agreement for Flint A. Lane,UNDEFINED,D-1
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,Annex E-Voting and Support Agreement for Bain Capital Ventures,UNDEFINED,E-1
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,Annex F-Rollover and Contribution Agreement for Flint A. Lane,UNDEFINED,F-1
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,Annex G-Rollover and Contribution Agreement for Bain Capital Ventures,UNDEFINED,G-1
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,Annex H-Restrictive Covenant Agreement for Flint A. Lane,UNDEFINED,H-1
BTRS Holdings Inc._20221110_DEFM14A_20444054_4544754.Pdf,Annex I-Restrictive Covenant Agreement for Bain Capital Ventures,UNDEFINED,I-1
