Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,ABOUT THIS PROXY STATEMENT/PROSPECTUS,1,10,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,INDUSTRY AND MARKET DATA,2,11,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,ADDITIONAL INFORMATION,3,12,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,FINANCIAL STATEMENTS PRESENTATION,4,13,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,FREQUENTLY USED TERMS,5,14,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,FREQUENTLY USED TECHNICAL TERMS,9,18,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,QUESTIONS AND ANSWERS ABOUT THE PROPOSALS,10,19,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,SUMMARY OF THE PROXY STATEMENT/PROSPECTUS,22,31,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,SELECTED HISTORICAL FINANCIAL INFORMATION OF BSGA,34,43,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,SELECTED HISTORICAL FINANCIAL INFORMATION OF BITDEER,35,44,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,SELECTED UNAUDITED PRO FORMA CONDENSED COMBINED FINANCIAL INFORMATION,39,48,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,FORWARD-LOOKING STATEMENTS,42,51,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,RISK FACTORS,44,53,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,EXTRAORDINARY GENERAL MEETING OF BSGA SHAREHOLDERS,105,114,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,UNAUDITED PRO FORMA CONDENSED COMBINED FINANCIAL INFORMATION,110,48,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,THE BUSINESS COMBINATION PROPOSAL,122,131,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,THE INITIAL MERGERS PROPOSAL,154,163,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,THE NASDAQ PROPOSAL,155,164,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,THE GOVERNING DOCUMENTS PROPOSAL,157,166,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,THE BTG INCENTIVE PLAN PROPOSAL,165,174,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,THE ADJOURNMENT PROPOSAL,168,177,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,MATERIAL TAX CONSIDERATIONS,169,178,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,INFORMATION RELATED TO BTG,179,188,UNDEFINED,UNDEFINED
Blue Safari Group Acquisition Corp_20230327_DEFM14A_20752338_4627890.Pdf,INFORMATION RELATED TO BSGA,181,190,UNDEFINED,UNDEFINED
