Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf",SUMMARY,1,8,UNDEFINED,UNDEFINED
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf",The Parties to the Merger,1,8,UNDEFINED,UNDEFINED
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf",The Special Meeting,2,9,UNDEFINED,UNDEFINED
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf",The Merger,4,8,UNDEFINED,UNDEFINED
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf",Recommendation of Our Board of Directors,4,11,UNDEFINED,UNDEFINED
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf",Opinions of Our Financial Advisors,4,11,UNDEFINED,UNDEFINED
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf","Treatment of Common Stock, Preferred Stock, Company Warrants and Equity Awards",6,13,UNDEFINED,UNDEFINED
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf",Financing,7,14,UNDEFINED,UNDEFINED
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf",Interests of Our Directors and Executive Officers in the Merger,7,14,UNDEFINED,UNDEFINED
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf",No Solicitation,8,15,UNDEFINED,UNDEFINED
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf",The Separation and the Distribution,8,15,UNDEFINED,UNDEFINED
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf",Conditions to the Merger,8,15,UNDEFINED,UNDEFINED
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf",Termination of the Merger Agreement,9,16,UNDEFINED,UNDEFINED
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf",Termination Fees,11,18,UNDEFINED,UNDEFINED
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf",Guaranty and Remedies,11,18,UNDEFINED,UNDEFINED
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf",Support Agreements,12,19,UNDEFINED,UNDEFINED
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf",Regulatory Matters,12,19,UNDEFINED,UNDEFINED
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf",No Dissenters’ Rights of Appraisal,12,19,UNDEFINED,UNDEFINED
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf",Material U.S. Federal Income Tax Consequences,12,19,UNDEFINED,UNDEFINED
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf","Delisting and Deregistration of Common Stock, Preferred Stock and Company Warrants",13,20,UNDEFINED,UNDEFINED
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf",Litigation Relating to the Merger,13,20,UNDEFINED,UNDEFINED
"Bluerock Residential Growth REIT, Inc._20220311_DEFM14A_19938922_4406918.Pdf",QUESTIONS AND ANSWERS ABOUT THE SPECIAL MEETING AND THE MERGER,15,22,UNDEFINED,UNDEFINED
