Document,Section Header,Section Text,Page Number
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf",TABLE OF CONTENTS,UNDEFINED,
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf",SUMMARY TERM SHEET,UNDEFINED,1
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf",Parties Involved in the Merger,UNDEFINED,1
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf","CAI International, Inc.",UNDEFINED,1
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf",Mitsubishi HC Capital Inc.,UNDEFINED,2
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf",Cattleya Acquisition Corp.,UNDEFINED,2
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf",The Special Meeting,UNDEFINED,2
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf","Date, Time and Place",UNDEFINED,2
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf",Purpose of the Special Meeting,UNDEFINED,2
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf",Record Date; Shares Entitled to Vote,UNDEFINED,2
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf",Quorum,UNDEFINED,3
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf",Vote Required,UNDEFINED,3
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf",Shares Held by the Company’s Directors and Executive Officers,UNDEFINED,3
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf",Voting of Proxies,UNDEFINED,3
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf",Revocability of Proxies,UNDEFINED,4
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf",The Merger,UNDEFINED,4
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf",Effect on the Company if the Merger is Not Completed,UNDEFINED,4
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf",Merger Consideration,UNDEFINED,5
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf","Treatment of Options, RSUs, PRSUs, RSAs and the ESPP",UNDEFINED,5
"CAI International, Inc._20210804_DEFM14A_19444962_4270736.Pdf",Governmental and Regulatory Approvals,UNDEFINED,7
