Document,Section Header,Section Text,Page Number
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,U.S. Employee Plan,UNDEFINED,Not Listed
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Willful and Material Breach,UNDEFINED,Not Listed
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Adverse Effect on Financing,UNDEFINED,6.17(a)
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Adverse Recommendation Change,UNDEFINED,6.03(a)
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Agreement,UNDEFINED,Preamble
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Alternative Acquisition Agreement,UNDEFINED,6.03(a)
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Alternative Financing,UNDEFINED,6.17(b)
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Anti-Corruption Laws,UNDEFINED,4.13(a)
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Business Systems,UNDEFINED,4.20(i)
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Capitalization Date,UNDEFINED,4.05(a)
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Certificate of Merger,UNDEFINED,2.02(a)
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Certificates,UNDEFINED,2.04(b)
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Closing,UNDEFINED,2.01
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Company,UNDEFINED,Preamble
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Company Common Stock,UNDEFINED,4.05(a)
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Company Intellectual Property,UNDEFINED,4.20(k)(i)
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Company Leased Real Property,UNDEFINED,4.21(b)
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Company Note Offers and Consent Solicitations,UNDEFINED,6.20(c)
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Company Owned Real Property,UNDEFINED,4.21(a)
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Company Preferred Stock,UNDEFINED,4.05(a)
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Company Products,UNDEFINED,4.20(k)(ii)
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Company Recommendation,UNDEFINED,4.02(b)
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Company SEC Documents,UNDEFINED,4.07(a)
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Company Securities,UNDEFINED,4.05(c)
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Company Subsidiary Documents,UNDEFINED,4.06(c)
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Confidentiality Agreement,UNDEFINED,6.18
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Consent Solicitations,UNDEFINED,6.20(c)
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Continuing Employee,UNDEFINED,6.07(a)
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Converted Cash Award,UNDEFINED,2.06(b)
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Copyrights,UNDEFINED,4.20(k)(ii)(C)
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Credit Agreement Termination,UNDEFINED,6.20(a)
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Debt Commitment Letter,UNDEFINED,5.08
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Debt Financing,UNDEFINED,5.08
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Delaware Courts,UNDEFINED,9.07
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,DGCL,UNDEFINED,Recitals
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Dissenting Company Shares,UNDEFINED,2.05
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Divestiture Action,UNDEFINED,6.12(d)
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,DOJ,UNDEFINED,6.12(b)
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,DSU Award Payments,UNDEFINED,2.06(c)
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Effective Time,UNDEFINED,2.02(b)
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,End Date,UNDEFINED,8.01(b)
CITRIX SYSTEMS INC_20220316_DEFM14A_19951567_4414270.Pdf,Equity Commitment Letter,UNDEFINED,Recitals
