Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
CORPORATE PROPERTY ASSOCIATES 18 GLOBAL INC_20220427_DEFM14A_20041574_4449712.Pdf,DEFINED TERMS,1,6,UNDEFINED,UNDEFINED
CORPORATE PROPERTY ASSOCIATES 18 GLOBAL INC_20220427_DEFM14A_20041574_4449712.Pdf,QUESTIONS AND ANSWERS FOR CPA:18 STOCKHOLDERS REGARDING THE MERGER AND THE SPECIAL MEETING,3,8,UNDEFINED,UNDEFINED
CORPORATE PROPERTY ASSOCIATES 18 GLOBAL INC_20220427_DEFM14A_20041574_4449712.Pdf,SUMMARY,10,15,UNDEFINED,UNDEFINED
CORPORATE PROPERTY ASSOCIATES 18 GLOBAL INC_20220427_DEFM14A_20041574_4449712.Pdf,W. P. CAREY COMMON STOCK HISTORICAL MARKET PRICE AND DIVIDEND INFORMATION,23,28,UNDEFINED,UNDEFINED
CORPORATE PROPERTY ASSOCIATES 18 GLOBAL INC_20220427_DEFM14A_20041574_4449712.Pdf,CPA:18 - GLOBAL COMMON STOCK DISTRIBUTION INFORMATION,24,29,UNDEFINED,UNDEFINED
CORPORATE PROPERTY ASSOCIATES 18 GLOBAL INC_20220427_DEFM14A_20041574_4449712.Pdf,RISK FACTORS,25,30,UNDEFINED,UNDEFINED
CORPORATE PROPERTY ASSOCIATES 18 GLOBAL INC_20220427_DEFM14A_20041574_4449712.Pdf,CAUTIONARY STATEMENT CONCERNING FORWARD-LOOKING STATEMENTS,32,37,UNDEFINED,UNDEFINED
CORPORATE PROPERTY ASSOCIATES 18 GLOBAL INC_20220427_DEFM14A_20041574_4449712.Pdf,THE MERGER,33,8,UNDEFINED,UNDEFINED
CORPORATE PROPERTY ASSOCIATES 18 GLOBAL INC_20220427_DEFM14A_20041574_4449712.Pdf,BACKGROUND OF THE MERGER,33,39,UNDEFINED,UNDEFINED
CORPORATE PROPERTY ASSOCIATES 18 GLOBAL INC_20220427_DEFM14A_20041574_4449712.Pdf,W. P. CAREY’S REASONS FOR THE MERGER,41,47,UNDEFINED,UNDEFINED
CORPORATE PROPERTY ASSOCIATES 18 GLOBAL INC_20220427_DEFM14A_20041574_4449712.Pdf,OPINION OF FINANCIAL ADVISOR TO THE SPECIAL COMMITTEE OF CPA:18 - GLOBAL,47,52,UNDEFINED,UNDEFINED
CORPORATE PROPERTY ASSOCIATES 18 GLOBAL INC_20220427_DEFM14A_20041574_4449712.Pdf,PROSPECTIVE FINANCIAL INFORMATION,53,58,UNDEFINED,UNDEFINED
CORPORATE PROPERTY ASSOCIATES 18 GLOBAL INC_20220427_DEFM14A_20041574_4449712.Pdf,POTENTIAL CONFLICTS OF INTEREST,56,61,UNDEFINED,UNDEFINED
CORPORATE PROPERTY ASSOCIATES 18 GLOBAL INC_20220427_DEFM14A_20041574_4449712.Pdf,INFORMATION ABOUT W. P. CAREY,58,63,UNDEFINED,UNDEFINED
CORPORATE PROPERTY ASSOCIATES 18 GLOBAL INC_20220427_DEFM14A_20041574_4449712.Pdf,INFORMATION ABOUT CPA:18 - GLOBAL,59,64,UNDEFINED,UNDEFINED
