Document,Section Header,Section Text,Page Number
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",SUMMARY TERM SHEET,UNDEFINED,1
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",The Parties,UNDEFINED,1
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",The Special Meeting,UNDEFINED,1
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",Special Factors,UNDEFINED,2
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",The Merger Agreement,UNDEFINED,2
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",Support and Rollover Agreement,UNDEFINED,4
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",Stockholders Entitled to Vote; Vote Required to Adopt the Merger Agreement,UNDEFINED,5
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",How to Vote,UNDEFINED,5
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",Background of the Merger,UNDEFINED,6
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",Reasons for the Merger; Recommendation of the Board; Fairness of the Merger,UNDEFINED,6
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",Position of the CD&R Entities as to the Fairness of the Merger; Purpose and Reasons of the CD&R Entities for the Merger,UNDEFINED,6
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",Opinion of Goldman Sachs & Co. LLC,UNDEFINED,7
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",Interests of Directors and Executive Officers in the Merger,UNDEFINED,7
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",Certain Effects of the Merger,UNDEFINED,8
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",Consequences if the Merger is Not Completed,UNDEFINED,8
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",Certain Financial Projections Utilized in Connection with the Merger,UNDEFINED,8
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",Material U.S. Federal Income Tax Consequences of the Merger,UNDEFINED,9
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",Fees and Expenses,UNDEFINED,9
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",Payment of Merger Consideration,UNDEFINED,9
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",Provisions for Unaffiliated Stockholders,UNDEFINED,10
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",Financing of the Merger,UNDEFINED,10
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",Treatment of Existing Debt,UNDEFINED,11
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",Regulatory Approvals,UNDEFINED,11
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",Litigation Related to the Merger,UNDEFINED,12
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",Appraisal Rights,UNDEFINED,12
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",Market Price and Dividend Data,UNDEFINED,12
"COVETRUS, INC._20220913_DEFM14A_20336819_4516858.Pdf",Other Important Information Regarding the Company,UNDEFINED,13
