Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
COWEN INC._20221011_DEFM14A_20384577_4528659.Pdf,SUMMARY,2,10,UNDEFINED,UNDEFINED
COWEN INC._20221011_DEFM14A_20384577_4528659.Pdf,The Parties,2,10,UNDEFINED,UNDEFINED
COWEN INC._20221011_DEFM14A_20384577_4528659.Pdf,The Merger,2,10,UNDEFINED,UNDEFINED
COWEN INC._20221011_DEFM14A_20384577_4528659.Pdf,The Special Meeting,3,11,UNDEFINED,UNDEFINED
COWEN INC._20221011_DEFM14A_20384577_4528659.Pdf,Stockholders Entitled to Vote; Vote Required to Approve the Merger Proposal,3,11,UNDEFINED,UNDEFINED
COWEN INC._20221011_DEFM14A_20384577_4528659.Pdf,Background of the Merger,3,11,UNDEFINED,UNDEFINED
COWEN INC._20221011_DEFM14A_20384577_4528659.Pdf,Recommendation of the Board,3,11,UNDEFINED,UNDEFINED
COWEN INC._20221011_DEFM14A_20384577_4528659.Pdf,Opinion of Ardea Partners LP,4,12,UNDEFINED,UNDEFINED
COWEN INC._20221011_DEFM14A_20384577_4528659.Pdf,Certain Effects of the Merger,4,12,UNDEFINED,UNDEFINED
COWEN INC._20221011_DEFM14A_20384577_4528659.Pdf,Effects on the Company if the Merger Is Not Consummated,4,12,UNDEFINED,UNDEFINED
COWEN INC._20221011_DEFM14A_20384577_4528659.Pdf,Treatment of Compensation Awards,5,13,UNDEFINED,UNDEFINED
COWEN INC._20221011_DEFM14A_20384577_4528659.Pdf,Interests of the Company’s Directors and Executive Officers in the Merger,6,14,UNDEFINED,UNDEFINED
COWEN INC._20221011_DEFM14A_20384577_4528659.Pdf,Security Ownership of Directors and Executive Officers,6,14,UNDEFINED,UNDEFINED
COWEN INC._20221011_DEFM14A_20384577_4528659.Pdf,Financing of the Merger,6,14,UNDEFINED,UNDEFINED
COWEN INC._20221011_DEFM14A_20384577_4528659.Pdf,Conditions to the Completion of the Merger,7,15,UNDEFINED,UNDEFINED
COWEN INC._20221011_DEFM14A_20384577_4528659.Pdf,Regulatory Approvals in Connection with the Merger,8,16,UNDEFINED,UNDEFINED
COWEN INC._20221011_DEFM14A_20384577_4528659.Pdf,Non-Solicitation of Acquisition Proposals,9,17,UNDEFINED,UNDEFINED
