Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,SUMMARY,1,9,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,The Parties,21,9,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,The Merger,32,10,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,The Special Meeting,23,10,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Voting Agreements,106,11,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Reasons for the Merger; Recommendation of the Special Committee and the Cvent Board,49,11,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Opinion of Qatalyst Partners,56 and Annex B,11,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Opinion of J.P. Morgan,62 and Annex C,12,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Certain Effects of the Merger,70,13,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Effects on the Company if the Merger Is Not Completed,71,13,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Treatment of Cvent Equity Awards,74,13,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Interests of the Company’s Directors and Executive Officers in the Merger,73,14,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Cvent Common Stock Ownership of Directors and Executive Officers,107,14,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Financing of the Merger,72,15,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Conditions of the Merger,101,15,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Regulatory Approvals Required for the Merger,79,16,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,No-Shop; Cvent Board Recommendation Change,89,16,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Termination,102,17,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Termination Fees,104,18,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Appraisal Rights,109,18,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Accounting Treatment,77,19,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Material U.S. Federal Income Tax Considerations,77,19,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Additional Information,116,19,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,QUESTIONS AND ANSWERS ABOUT THE SPECIAL MEETING AND THE MERGER,12,20,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,CAUTIONARY NOTE REGARDING FORWARD-LOOKING STATEMENTS,19,27,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,THE PARTIES,21,9,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,THE SPECIAL MEETING,23,10,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,"Date, Time and Place",23,31,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Purpose of the Special Meeting,23,31,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Recommendation of the Special Committee and the Cvent Board,23,11,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Record Date and Stockholders Entitled to Vote,23,31,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Quorum,24,32,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Vote Required,24,32,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Voting Procedures,25,33,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Revocation of Proxies,26,34,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Voting at the Special Meeting,26,34,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Solicitation of Proxies,27,35,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Adjournments,27,35,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Voting by Company Directors and Executive Officers,27,35,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Voting Agreements,27,35,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Assistance,28,36,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,PROPOSAL 1: ADOPTION OF THE MERGER AGREEMENT,29,37,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,PROPOSAL 2: APPROVAL OF THE COMPENSATION ADVISORY PROPOSAL,30,38,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,PROPOSAL 3: ADJOURNMENT PROPOSAL,31,39,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,THE MERGER,32,10,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,General Description of the Merger,32,40,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Background of the Merger,32,40,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Reasons for the Merger; Recommendation of the Special Committee and the Cvent Board,49,57,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Opinion of Qatalyst Partners,56,64,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Opinion of J.P. Morgan,62,70,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Certain Financial Projections,68,76,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Certain Effects of the Merger,70,78,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Effects on the Company if the Merger Is Not Completed,71,79,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Financing of the Merger,72,80,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Interests of the Company’s Directors and Executive Officers in the Merger,73,81,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Accounting Treatment,77,85,UNDEFINED,UNDEFINED
CVENT HOLDING CORP._20230503_DEFM14A_20848314_4658730.Pdf,Material U.S. Federal Income Tax Considerations,77,85,UNDEFINED,UNDEFINED
