Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",QUESTIONS AND ANSWERS,1,9,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",SUMMARY,13,21,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",THE COMPANIES,25,33,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",THE SPECIAL MEETING,26,34,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf","Date, Time and Place of the Special Meeting",26,34,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Purpose of the Special Meeting,26,34,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Record Date; Shares Entitled to Vote; Quorum,26,34,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Vote Required; Abstentions and Broker Non-Votes,26,34,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Shares Held by Directors and Executive Officers,27,35,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Voting; Proxies,27,35,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Revocability of Proxies,29,37,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Abstentions,29,34,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Adjournments and Postponements,29,37,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Board Recommendation,30,38,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Solicitation of Proxies,30,38,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Anticipated Date of Consummation of the Merger,30,38,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Appraisal Rights,30,38,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Householding of Special Meeting Materials,31,39,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Questions and Additional Information,32,40,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",CAUTIONARY STATEMENT REGARDING FORWARD-LOOKING STATEMENTS,33,41,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",THE MERGER,35,38,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Certain Effects of the Merger on ChemoCentryx,35,43,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Effect on ChemoCentryx if the Merger is Not Consummated,35,43,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Merger Consideration,36,44,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Background of the Merger,36,44,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Recommendation of the Board and Reasons for the Merger,48,56,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Opinion of Goldman Sachs & Co. LLC,54,62,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Interests of the Directors and Executive Officers of ChemoCentryx in the Merger,62,70,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Financing of the Merger,67,75,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Closing and Effective Time of the Merger,68,76,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Appraisal Rights,68,76,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Material U.S. Federal Income Tax Consequences of the Merger,72,80,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Regulatory Approvals Required for the Merger,75,83,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Litigation Related to the Merger,76,84,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Delisting and Deregistration of ChemoCentryx Common Stock,77,85,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",THE MERGER AGREEMENT,78,86,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Explanatory Note Regarding the Merger Agreement,78,86,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",When the Merger Becomes Effective,78,86,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Structure of the Merger; Certificate of Incorporation; Bylaws; Directors and Officers,79,87,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Effect of the Merger on ChemoCentryx Common Stock,79,87,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Treatment of Equity Awards and the ESPP,79,87,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Dissenting Shares,80,88,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Payment for ChemoCentryx Common Stock,81,89,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Representations and Warranties,81,89,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Conduct of Business Pending the Merger,85,93,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Other Covenants and Agreements,88,96,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Conditions to the Merger,97,105,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Termination,99,107,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Termination Fee; Certain Expenses,101,109,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Expenses Generally,102,110,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Specific Performance,102,110,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Amendments; Waiver,102,110,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Governing Law and Jurisdiction,102,110,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",PROPOSAL NO. 1: APPROVAL OF THE MERGER PROPOSAL,104,112,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",The Merger Proposal,104,112,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Vote Required,104,112,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Board Recommendation,104,112,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",PROPOSAL NO. 2: ADVISORY VOTE ON THE MERGER COMPENSATION PROPOSAL,105,113,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",The Merger Compensation Proposal,105,113,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Vote Required,107,115,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Board Recommendation,108,116,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",PROPOSAL NO. 3: ADJOURNMENT OF THE SPECIAL MEETING,109,117,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",The Adjournment Proposal,109,117,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Vote Required,109,117,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",Board Recommendation,109,117,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",MARKET PRICES AND DIVIDEND DATA,110,118,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",SECURITY OWNERSHIP OF CERTAIN BENEFICIAL OWNERS AND MANAGEMENT,111,119,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",WHERE YOU CAN FIND MORE INFORMATION,114,122,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",MISCELLANEOUS,116,124,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",ANNEX A—AGREEMENT AND PLAN OF MERGER,A-1,125,UNDEFINED,UNDEFINED
"ChemoCentryx, Inc._20220914_DEFM14A_20340331_4518092.Pdf",ANNEX B—OPINION OF GOLDMAN SACHS & CO. LLC,B-1,188,UNDEFINED,UNDEFINED
