Document,Section Header,Section Text,Page Number
"Cloudera, Inc._20210719_DEFM14A_19410828_4260317.Pdf",SUMMARY,UNDEFINED,1
"Cloudera, Inc._20210719_DEFM14A_19410828_4260317.Pdf",Parties Involved in the Merger,UNDEFINED,1
"Cloudera, Inc._20210719_DEFM14A_19410828_4260317.Pdf",The Merger,UNDEFINED,2
"Cloudera, Inc._20210719_DEFM14A_19410828_4260317.Pdf",Merger Consideration,UNDEFINED,2
"Cloudera, Inc._20210719_DEFM14A_19410828_4260317.Pdf",Material U.S. Federal Income Tax Consequences of the Merger,UNDEFINED,4
"Cloudera, Inc._20210719_DEFM14A_19410828_4260317.Pdf",Appraisal Rights,UNDEFINED,4
"Cloudera, Inc._20210719_DEFM14A_19410828_4260317.Pdf",Regulatory Approvals Required for the Merger,UNDEFINED,5
"Cloudera, Inc._20210719_DEFM14A_19410828_4260317.Pdf",Closing Conditions,UNDEFINED,5
"Cloudera, Inc._20210719_DEFM14A_19410828_4260317.Pdf",Financing of the Merger,UNDEFINED,6
"Cloudera, Inc._20210719_DEFM14A_19410828_4260317.Pdf",Required Stockholder Approval,UNDEFINED,7
"Cloudera, Inc._20210719_DEFM14A_19410828_4260317.Pdf",The Special Meeting,UNDEFINED,7
"Cloudera, Inc._20210719_DEFM14A_19410828_4260317.Pdf",Recommendation of the Cloudera Board of Directors,UNDEFINED,8
"Cloudera, Inc._20210719_DEFM14A_19410828_4260317.Pdf",Opinion of Morgan Stanley & Co. LLC.,UNDEFINED,9
"Cloudera, Inc._20210719_DEFM14A_19410828_4260317.Pdf",Interests of Cloudera’s Directors and Executive Officers in the Merger,UNDEFINED,9
"Cloudera, Inc._20210719_DEFM14A_19410828_4260317.Pdf",Alternative Acquisition Proposals,UNDEFINED,10
"Cloudera, Inc._20210719_DEFM14A_19410828_4260317.Pdf",Termination of the Merger Agreement,UNDEFINED,11
"Cloudera, Inc._20210719_DEFM14A_19410828_4260317.Pdf",Effect on Cloudera if the Merger Is Not Completed,UNDEFINED,11
