Document,Section Header,Section Text,Page Number
CorePoint Lodging Inc._20220114_DEFM14A_19776758_4365965.Pdf,SUMMARY,UNDEFINED,1
CorePoint Lodging Inc._20220114_DEFM14A_19776758_4365965.Pdf,QUESTIONS AND ANSWERS ABOUT THE SPECIAL MEETING AND THE MERGER,UNDEFINED,16
CorePoint Lodging Inc._20220114_DEFM14A_19776758_4365965.Pdf,CAUTIONARY STATEMENT REGARDING FORWARD-LOOKING STATEMENTS,UNDEFINED,26
CorePoint Lodging Inc._20220114_DEFM14A_19776758_4365965.Pdf,THE PARTIES TO THE MERGER,UNDEFINED,27
CorePoint Lodging Inc._20220114_DEFM14A_19776758_4365965.Pdf,THE SPECIAL MEETING,UNDEFINED,28
CorePoint Lodging Inc._20220114_DEFM14A_19776758_4365965.Pdf,THE MERGER,UNDEFINED,34
CorePoint Lodging Inc._20220114_DEFM14A_19776758_4365965.Pdf,Structure of the Merger,UNDEFINED,34
CorePoint Lodging Inc._20220114_DEFM14A_19776758_4365965.Pdf,Merger Consideration — What Stockholders Will Receive in the Merger,UNDEFINED,34
CorePoint Lodging Inc._20220114_DEFM14A_19776758_4365965.Pdf,Treatment of CorePoint Equity Awards,UNDEFINED,35
CorePoint Lodging Inc._20220114_DEFM14A_19776758_4365965.Pdf,Effects on CorePoint if the Merger Is Not Completed,UNDEFINED,35
CorePoint Lodging Inc._20220114_DEFM14A_19776758_4365965.Pdf,Background of the Merger,UNDEFINED,36
CorePoint Lodging Inc._20220114_DEFM14A_19776758_4365965.Pdf,Recommendation of the Board and Reasons for the Merger,UNDEFINED,47
CorePoint Lodging Inc._20220114_DEFM14A_19776758_4365965.Pdf,Opinion of J.P. Morgan Securities LLC,UNDEFINED,53
CorePoint Lodging Inc._20220114_DEFM14A_19776758_4365965.Pdf,Financial Projections,UNDEFINED,58
CorePoint Lodging Inc._20220114_DEFM14A_19776758_4365965.Pdf,Interests of CorePoint’s Directors and Executive Officers in the Merger,UNDEFINED,61
CorePoint Lodging Inc._20220114_DEFM14A_19776758_4365965.Pdf,Financing of the Merger,UNDEFINED,66
CorePoint Lodging Inc._20220114_DEFM14A_19776758_4365965.Pdf,Regulatory Clearances and Approvals Required for the Merger,UNDEFINED,70
