Document,Section Header,Section Text,Page Number
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,SUMMARY,UNDEFINED,1
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,The Special Meeting,UNDEFINED,1
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Vote Required; Abstentions and Broker Non-Votes,UNDEFINED,2
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Shares Held by Cornerstone’s Directors and Executive Officers,UNDEFINED,2
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,The Merger,UNDEFINED,2
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Parties Involved in the Merger,UNDEFINED,2
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Effect of the Merger,UNDEFINED,3
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Effect on Cornerstone if the Merger is Not Completed,UNDEFINED,3
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Merger Consideration,UNDEFINED,4
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Recommendation of the Cornerstone Board of Directors,UNDEFINED,5
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Opinion of Qatalyst Partners LP,UNDEFINED,6
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Opinion of Centerview Partners LLC,UNDEFINED,6
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Interests of Cornerstone’s Directors and Executive Officers in the Merger,UNDEFINED,7
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Financing of the Merger,UNDEFINED,7
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,The Support Agreements,UNDEFINED,8
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Appraisal Rights,UNDEFINED,9
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,UNDEFINED,10
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Regulatory Approvals Required for the Merger,UNDEFINED,10
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Legal Proceedings,UNDEFINED,10
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Adoption of the Merger Agreement,UNDEFINED,11
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Conduct of Business Pending the Merger,UNDEFINED,11
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Conditions to the Closing of the Merger,UNDEFINED,11
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Termination of the Merger Agreement,UNDEFINED,11
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,QUESTIONS AND ANSWERS,UNDEFINED,13
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,FORWARD-LOOKING STATEMENTS,UNDEFINED,19
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,THE SPECIAL MEETING,UNDEFINED,21
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,"Date, Time and Place",UNDEFINED,21
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Purpose of the Special Meeting,UNDEFINED,21
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Record Date; Shares Entitled to Vote; Quorum,UNDEFINED,21
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Vote Required; Abstentions and Broker Non-Votes,UNDEFINED,21
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Shares Held by Cornerstone’s Directors and Executive Officers,UNDEFINED,22
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Voting of Proxies,UNDEFINED,22
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Revocability of Proxies,UNDEFINED,23
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Adjournments and Recess,UNDEFINED,23
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Board of Directors’ Recommendation,UNDEFINED,23
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Solicitation of Proxies,UNDEFINED,23
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Anticipated Date of Completion of the Merger,UNDEFINED,24
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Delisting and Deregistration of Company Common Stock,UNDEFINED,24
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,"Important Notice Regarding the Availability of Proxy Materials for the Stockholder Meeting to be Held on October 12, 2021",UNDEFINED,24
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Questions and Additional Information,UNDEFINED,24
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,THE MERGER,UNDEFINED,25
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Parties Involved in the Merger,UNDEFINED,25
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Effect of the Merger,UNDEFINED,25
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Effect on Cornerstone if the Merger is Not Completed,UNDEFINED,26
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Merger Consideration,UNDEFINED,26
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Background of the Merger,UNDEFINED,26
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Recommendation of the Board of Directors and Reasons for the Merger,UNDEFINED,35
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Opinion of Qatalyst Partners LP,UNDEFINED,42
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Opinion of Centerview Partners LLC,UNDEFINED,48
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,i,UNDEFINED,
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Interests of Cornerstone’s Directors and Executive Officers in the Merger,UNDEFINED,55
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Equity Interests of Cornerstone’s Executive Officers and Non-Employee Directors,UNDEFINED,60
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Financing of the Merger,UNDEFINED,61
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Limited Guarantee,UNDEFINED,63
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,The Support Agreements,UNDEFINED,64
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Appraisal Rights,UNDEFINED,64
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Accounting Treatment,UNDEFINED,69
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,UNDEFINED,69
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Regulatory Approvals Required for the Merger,UNDEFINED,72
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Legal Proceedings,UNDEFINED,73
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,PROPOSAL 1: ADOPTION OF THE MERGER AGREEMENT,UNDEFINED,74
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Effects of the Merger; Certificate of Incorporation; Bylaws; Directors and Officers,UNDEFINED,74
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Closing and Effective Time,UNDEFINED,74
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Merger Consideration,UNDEFINED,75
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Exchange and Payment Procedures,UNDEFINED,75
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Representations and Warranties,UNDEFINED,76
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Conduct of Business Pending the Merger,UNDEFINED,79
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,No Solicitation of Other Offers,UNDEFINED,81
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,The Board of Directors’ Recommendation; Company Adverse Change Recommendation,UNDEFINED,83
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Employee Benefits,UNDEFINED,84
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Efforts to Close the Merger,UNDEFINED,85
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Cooperation with the Financing,UNDEFINED,85
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Director and Officer Indemnification and Insurance,UNDEFINED,87
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Other Covenants,UNDEFINED,88
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Conditions to the Closing of the Merger,UNDEFINED,89
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Termination of the Merger Agreement,UNDEFINED,90
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Termination Fee,UNDEFINED,92
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Specific Performance,UNDEFINED,92
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Limitations of Liability,UNDEFINED,92
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Fees and Expenses,UNDEFINED,92
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Amendment,UNDEFINED,93
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Governing Law,UNDEFINED,93
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,PROPOSAL 2: THE CORNERSTONE COMPENSATION PROPOSAL,UNDEFINED,94
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Vote Required and Board of Directors Recommendation,UNDEFINED,94
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,PROPOSAL 3: ADJOURNMENT OF THE SPECIAL MEETING,UNDEFINED,95
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,MARKET PRICES AND DIVIDEND DATA,UNDEFINED,96
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,SECURITY OWNERSHIP OF CERTAIN BENEFICIAL OWNERS AND MANAGEMENT,UNDEFINED,97
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,OTHER MATTERS,UNDEFINED,99
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Other Matters,UNDEFINED,99
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Future Stockholder Proposals,UNDEFINED,99
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Householding of Special Meeting Materials,UNDEFINED,99
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,WHERE YOU CAN FIND MORE INFORMATION,UNDEFINED,101
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,MISCELLANEOUS,UNDEFINED,103
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Annexes,UNDEFINED,Annex A
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,The Merger Agreement,UNDEFINED,A-1
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Annex B,UNDEFINED,Opinion of Qatalyst Partners LP
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Annex C,UNDEFINED,Opinion of Centerview Partners LLC
Cornerstone OnDemand Inc_20210910_DEFM14A_19526835_4292932.Pdf,Annex D,UNDEFINED,Section 262 of the General Corporation Law of the State of Delaware
