Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,SUMMARY,1,9,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,The Parties,1,9,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,The Special Meeting,2,10,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Record Date and Stockholders Entitled to Vote; Vote Required to Approve Each Proposal,2,10,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Voting by Company Directors and Executive Officers,3,11,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,The Merger; Certain Effects of the Merger; Consideration To Be Received in the Merger,3,11,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Recommendation of the Board,4,12,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Opinion of the Company’s Financial Advisor,4,12,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Effects on the Company if the Merger Is Not Consummated,5,13,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Financing of the Merger,5,13,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Limited Guarantee,7,15,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Interests of the Company’s Directors and Executive Officers in the Merger,7,15,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Treatment of Company Equity Awards,7,15,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Company ESPP,9,17,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,9,17,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Litigation Related to the Merger,9,17,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Regulatory Approvals in Connection with the Merger,10,18,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Appraisal Rights,10,18,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,No Solicitation; Change in Board Recommendation,11,19,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Conditions of the Merger,11,19,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Termination of the Merger Agreement,12,20,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Termination Fees,14,22,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Current Price of Company Common Stock,15,23,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Additional Information,15,23,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,QUESTIONS AND ANSWERS ABOUT THE SPECIAL MEETING AND THE MERGER,16,24,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,CAUTIONARY STATEMENT REGARDING FORWARD-LOOKING STATEMENTS,25,33,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,THE PARTIES,27,9,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Coupa Software Incorporated,27,35,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,"Coupa Holdings, LLC (f/k/a Project CS Parent, LLC)",27,35,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,"Project CS Merger Sub, Inc.",27,35,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,THE SPECIAL MEETING,28,10,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,"Date, Time and Place",28,36,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Purpose of the Special Meeting,28,36,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Recommendation of the Board,28,36,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Registering for the Special Meeting,28,36,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Record Date and Stockholders Entitled to Vote,29,10,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Quorum,29,37,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Vote Required,30,10,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Voting Procedures,31,39,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,How Proxies Are Voted,31,39,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Revocation of Proxies,32,40,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Solicitation of Proxies,32,40,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Adjournments,32,40,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Voting by Company Directors and Executive Officers,33,41,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Appraisal Rights,33,41,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Other Matters,34,42,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Assistance,34,42,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,PROPOSAL 1: MERGER AGREEMENT PROPOSAL,35,43,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,PROPOSAL 2: ADVISORY COMPENSATION PROPOSAL,36,44,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,PROPOSAL 3: ADJOURNMENT PROPOSAL,37,45,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,THE MERGER,38,46,UNDEFINED,UNDEFINED
Coupa Software Inc_20230123_DEFM14A_20571922_4573621.Pdf,Overview,38,46,UNDEFINED,UNDEFINED
