Document,Section Header,Section Text,Page Number
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,SUMMARY,UNDEFINED,2
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,The Parties,UNDEFINED,2
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,The Merger,UNDEFINED,3
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,The Special Meeting,UNDEFINED,3
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Stockholders Entitled to Vote; Vote Required to Approve the Merger Proposal,UNDEFINED,3
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Background of the Merger,UNDEFINED,3
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Recommendation of the Board,UNDEFINED,4
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Opinion of the Company’s Financial Advisor,UNDEFINED,4
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Certain Effects of the Merger,UNDEFINED,4
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Effects on the Company if the Merger Is Not Consummated,UNDEFINED,5
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Treatment of Company Equity Awards,UNDEFINED,5
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Treatment of Interests in the Company Operating Partnership,UNDEFINED,6
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Treatment of Employee Stock Purchase Plan,UNDEFINED,6
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Interests of the Company’s Directors and Executive Officers in the Merger,UNDEFINED,6
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Security Ownership of Directors and Executive Officers,UNDEFINED,7
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Financing of the Merger,UNDEFINED,7
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Guarantees,UNDEFINED,7
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Conditions of the Merger,UNDEFINED,7
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Regulatory Approvals in Connection with the Merger,UNDEFINED,8
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,No Solicitation,UNDEFINED,9
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Termination,UNDEFINED,9
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Termination Fees,UNDEFINED,10
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,No Dissenters’ Rights of Appraisal,UNDEFINED,11
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,UNDEFINED,11
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Current Price of Common Stock,UNDEFINED,12
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Additional Information,UNDEFINED,12
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,QUESTIONS AND ANSWERS ABOUT THE SPECIAL MEETING AND THE MERGER,UNDEFINED,13
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,CAUTIONARY STATEMENT REGARDING FORWARD-LOOKING STATEMENTS,UNDEFINED,20
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,THE PARTIES,UNDEFINED,22
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,CyrusOne Inc.,UNDEFINED,22
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Parent,UNDEFINED,22
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Merger Sub,UNDEFINED,22
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,THE SPECIAL MEETING,UNDEFINED,24
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,"Date, Time and Place",UNDEFINED,24
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Purpose of the Special Meeting,UNDEFINED,24
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Recommendation of the Board,UNDEFINED,24
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Record Date and Stockholders Entitled to Vote,UNDEFINED,24
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Quorum,UNDEFINED,24
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Vote Required,UNDEFINED,25
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Voting Procedures,UNDEFINED,26
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,How Proxies Are Voted,UNDEFINED,26
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Revocation of Proxies,UNDEFINED,26
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Solicitation of Proxies,UNDEFINED,27
CyrusOne Inc._20211230_DEFM14A_19745922_4359686.Pdf,Postponements and Adjournments,UNDEFINED,27
