Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,THE PROLOGIS SPECIAL MEETING,45,55,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,"Date, Time, Place and Purpose of the Prologis Special Meeting",45,55,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Recommendation of the Prologis Board of Directors,45,55,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Prologis Record Date; Who Can Vote at the Prologis Special Meeting,45,55,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Directors and Officers of Prologis,45,55,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Required Vote; Quorum,45,55,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Abstentions and Broker Non-Votes,46,56,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Manner of Submitting Proxy,46,56,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Shares Held in “Street Name”,47,57,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Revocation of Proxies or Voting Instructions,47,57,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Solicitation of Proxies; Payment of Solicitation Expenses,47,57,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,PROPOSALS SUBMITTED TO PROLOGIS STOCKHOLDERS,49,59,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Prologis Common Stock Issuance Proposal,49,59,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Prologis Adjournment Proposal,49,59,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Other Business,49,59,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,THE DUKE REALTY SPECIAL MEETING,50,60,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,"Date, Time, Place and Purpose of the Duke Realty Special Meeting",50,60,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Recommendation of the Duke Realty Board of Directors,50,60,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Duke Realty Record Date; Who Can Vote at the Duke Realty Special Meeting,50,60,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Directors and Officers of Duke Realty,50,60,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Required Vote; Quorum,50,60,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Abstentions and Broker Non-Votes,51,61,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Manner of Submitting Proxy,51,61,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Shares Held in “Street Name”,52,62,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Revocation of Proxies or Voting Instructions,52,62,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Solicitation of Proxies; Payment of Solicitation Expenses,53,63,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,PROPOSALS SUBMITTED TO DUKE REALTY SHAREHOLDERS,54,64,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Duke Realty Merger Agreement Proposal,54,64,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Duke Realty Compensation Proposal,54,64,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Duke Realty Adjournment Proposal,55,65,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Other Business,55,65,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,THE MERGERS,56,66,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,General,56,66,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Background of the Mergers,56,66,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Recommendation of the Prologis Board of Directors and Its Reasons for the Mergers,67,77,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Recommendation of the Duke Realty Board of Directors and Its Reasons for the Mergers,70,80,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Opinion of Prologis’ Financial Advisor,73,83,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Opinion of Duke Realty’s Financial Advisor,82,92,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Certain Prologis Unaudited Prospective Financial Information,91,101,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Certain Duke Realty Unaudited Prospective Financial Information,95,105,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Interests of Duke Realty’s Directors and Named Executive Officers in the Mergers,98,108,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Directors of Prologis after the Mergers,104,114,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Regulatory Approvals Required for the Mergers,104,114,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Material United States Federal Income Tax Consequences of the Company Merger,104,114,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Accounting Treatment,108,118,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Exchange of Shares in the Mergers,109,119,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Dividends,109,119,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Listing of Prologis Common Stock,110,120,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Delisting and Deregistration of Duke Realty Common Stock,110,120,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,Litigation Relating to the Mergers,110,120,UNDEFINED,UNDEFINED
DUKE REALTY CORP_20220802_DEFM14A_20251209_4495981.Pdf,THE MERGER AGREEMENT,111,121,UNDEFINED,UNDEFINED
