Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",DEFINED TERMS,iv,12,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",SUMMARY TERM SHEET,1,19,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf","QUESTIONS AND ANSWERS ABOUT THE MERGER, THE PLAN OF MERGER AND THE SPECIAL MEETING",12,30,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",SPECIAL FACTORS,18,36,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Background of the Merger,18,36,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Recommendation of the Diversey Board of Directors and Special Committee,27,45,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Reasons for the Merger,27,45,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Opinion of the Special Committee’s Financial Advisor,34,52,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Reasons of the Parent Entities for the Merger,43,61,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Position of the Parent Entities as to the Fairness of the Merger,43,61,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Reasons of the Bain Shareholder for the Merger,44,62,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Position of the Bain Shareholder as to the Fairness of the Merger,44,62,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Plans for the Company After the Merger,46,64,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Certain Effects of the Merger,46,64,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Certain Effects on the Company if the Merger is Not Completed,48,66,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Management Projections,48,66,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Interests of the Company’s Directors and Executive Officers in the Merger,51,69,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Intent of Diversey’s Directors and Executive Officers to Vote in Favor of the Merger,57,75,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Intent of the Bain Shareholder to Vote in Favor of the Merger,58,76,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Certain Material U.S. Federal Income Tax Consequences of the Merger,58,76,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Financing of the Merger,60,78,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Limited Guarantee,62,80,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Voting Agreement,62,80,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Rollover Agreement,62,80,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Tax Indemnity Agreement,63,81,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",TRA Termination Agreement,63,81,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Fees and Expenses,63,81,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Delisting and Deregistration of Ordinary Shares,64,82,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Regulatory Approvals,64,82,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Litigation Related to the Merger,64,82,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",CAUTIONARY FACTORS REGARDING FORWARD-LOOKING STATEMENTS,65,83,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",THE SPECIAL MEETING,67,30,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf","Date, Time, Place and Purpose of the Special Meeting",67,85,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Record Date and Quorum,67,85,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Vote Required for Approval,67,85,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Voting Agreement,68,86,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Voting and Proxies,68,86,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Revocation of Proxies,69,87,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Solicitation of Proxies,69,87,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Shareholder List,69,87,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Questions and Additional Information,70,88,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",PROPOSALS SUBMITTED TO DIVERSEY SHAREHOLDERS,71,89,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Proposal 1. The Merger Proposal,71,89,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Proposal 2. The Named Executive Officer Merger-Related Compensation Proposal,73,91,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",THE COMPANIES,74,92,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",THE MERGER AGREEMENT,75,93,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",The Merger,75,89,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",The Merger Consideration and the Conversion of Ordinary Shares,75,93,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Payment Procedures,76,94,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Representations and Warranties,76,94,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",Conduct of the Company’s Business During the Pendency of the Merger,80,98,UNDEFINED,UNDEFINED
"Diversey Holdings, Ltd._20230515_DEFM14A_20878784_4665936.Pdf",The Special Meeting,82,100,UNDEFINED,UNDEFINED
