Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
"Echo Global Logistics, Inc._20211021_DEFM14A_19595960_4315476.Pdf",SUMMARY,4,8,UNDEFINED,UNDEFINED
"Echo Global Logistics, Inc._20211021_DEFM14A_19595960_4315476.Pdf",The Companies,22,8,UNDEFINED,UNDEFINED
"Echo Global Logistics, Inc._20211021_DEFM14A_19595960_4315476.Pdf",The Special Meeting,23,8,UNDEFINED,UNDEFINED
"Echo Global Logistics, Inc._20211021_DEFM14A_19595960_4315476.Pdf",The Merger,27,10,UNDEFINED,UNDEFINED
"Echo Global Logistics, Inc._20211021_DEFM14A_19595960_4315476.Pdf",Treatment of Company Equity Awards,60,10,UNDEFINED,UNDEFINED
"Echo Global Logistics, Inc._20211021_DEFM14A_19595960_4315476.Pdf",Conditions to Completion of the Merger,76,10,UNDEFINED,UNDEFINED
"Echo Global Logistics, Inc._20211021_DEFM14A_19595960_4315476.Pdf",When the Merger Becomes Effective,59,11,UNDEFINED,UNDEFINED
"Echo Global Logistics, Inc._20211021_DEFM14A_19595960_4315476.Pdf",Recommendation of the Board,37,11,UNDEFINED,UNDEFINED
"Echo Global Logistics, Inc._20211021_DEFM14A_19595960_4315476.Pdf",Reasons for the Merger,37,12,UNDEFINED,UNDEFINED
"Echo Global Logistics, Inc._20211021_DEFM14A_19595960_4315476.Pdf",Opinion of Morgan Stanley,42,12,UNDEFINED,UNDEFINED
"Echo Global Logistics, Inc._20211021_DEFM14A_19595960_4315476.Pdf",Interests of Echo’s Directors and Executive Officers in the Merger,49,12,UNDEFINED,UNDEFINED
"Echo Global Logistics, Inc._20211021_DEFM14A_19595960_4315476.Pdf",Financing,48,13,UNDEFINED,UNDEFINED
"Echo Global Logistics, Inc._20211021_DEFM14A_19595960_4315476.Pdf",Material U.S. Federal Income Tax Consequences of the Merger,55,14,UNDEFINED,UNDEFINED
"Echo Global Logistics, Inc._20211021_DEFM14A_19595960_4315476.Pdf",Regulatory Clearances,57,14,UNDEFINED,UNDEFINED
"Echo Global Logistics, Inc._20211021_DEFM14A_19595960_4315476.Pdf",Appraisal Rights of Echo Stockholders,84,14,UNDEFINED,UNDEFINED
"Echo Global Logistics, Inc._20211021_DEFM14A_19595960_4315476.Pdf",Market Price of the Company’s Common Stock,82,15,UNDEFINED,UNDEFINED
