Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
"ForgeRock, Inc._20221208_DEFM14A_20498573_4557310.Pdf",TRANSACTION SUMMARY,1,10,UNDEFINED,UNDEFINED
"ForgeRock, Inc._20221208_DEFM14A_20498573_4557310.Pdf",Introduction,1,10,UNDEFINED,UNDEFINED
"ForgeRock, Inc._20221208_DEFM14A_20498573_4557310.Pdf",Parties Involved in the Merger,1,10,UNDEFINED,UNDEFINED
"ForgeRock, Inc._20221208_DEFM14A_20498573_4557310.Pdf",Effect of the Merger,2,11,UNDEFINED,UNDEFINED
"ForgeRock, Inc._20221208_DEFM14A_20498573_4557310.Pdf",Per Share Price,2,11,UNDEFINED,UNDEFINED
"ForgeRock, Inc._20221208_DEFM14A_20498573_4557310.Pdf",The Special Meeting,3,12,UNDEFINED,UNDEFINED
"ForgeRock, Inc._20221208_DEFM14A_20498573_4557310.Pdf",Recommendation of the ForgeRock Board and Reasons for the Merger,4,13,UNDEFINED,UNDEFINED
"ForgeRock, Inc._20221208_DEFM14A_20498573_4557310.Pdf",Opinion of J.P. Morgan Securities LLC,4,13,UNDEFINED,UNDEFINED
"ForgeRock, Inc._20221208_DEFM14A_20498573_4557310.Pdf",Treatment of Equity Awards in the Merger,5,14,UNDEFINED,UNDEFINED
"ForgeRock, Inc._20221208_DEFM14A_20498573_4557310.Pdf",Employee Benefits,6,15,UNDEFINED,UNDEFINED
"ForgeRock, Inc._20221208_DEFM14A_20498573_4557310.Pdf",Interests of ForgeRock’s Directors and Executive Officers in the Merger,7,16,UNDEFINED,UNDEFINED
"ForgeRock, Inc._20221208_DEFM14A_20498573_4557310.Pdf",Appraisal Rights,8,17,UNDEFINED,UNDEFINED
"ForgeRock, Inc._20221208_DEFM14A_20498573_4557310.Pdf",Material U.S. Federal Income Tax Consequences of the Merger,8,17,UNDEFINED,UNDEFINED
"ForgeRock, Inc._20221208_DEFM14A_20498573_4557310.Pdf",Regulatory Approvals Required for the Merger,9,18,UNDEFINED,UNDEFINED
"ForgeRock, Inc._20221208_DEFM14A_20498573_4557310.Pdf",Financing of the Merger,9,18,UNDEFINED,UNDEFINED
"ForgeRock, Inc._20221208_DEFM14A_20498573_4557310.Pdf",The Voting Agreements,9,18,UNDEFINED,UNDEFINED
"ForgeRock, Inc._20221208_DEFM14A_20498573_4557310.Pdf",No Solicitation of Other Acquisition Offers,10,19,UNDEFINED,UNDEFINED
"ForgeRock, Inc._20221208_DEFM14A_20498573_4557310.Pdf",Change in the ForgeRock Board’s Recommendation,11,20,UNDEFINED,UNDEFINED
"ForgeRock, Inc._20221208_DEFM14A_20498573_4557310.Pdf",Conditions to the Closing of the Merger,11,20,UNDEFINED,UNDEFINED
"ForgeRock, Inc._20221208_DEFM14A_20498573_4557310.Pdf",Termination of the Merger Agreement,12,21,UNDEFINED,UNDEFINED
"ForgeRock, Inc._20221208_DEFM14A_20498573_4557310.Pdf",Termination Fees and Remedies,13,22,UNDEFINED,UNDEFINED
"ForgeRock, Inc._20221208_DEFM14A_20498573_4557310.Pdf",Limited Guarantee,13,22,UNDEFINED,UNDEFINED
"ForgeRock, Inc._20221208_DEFM14A_20498573_4557310.Pdf",Delisting and Deregistration of Our Class A Common Stock,13,22,UNDEFINED,UNDEFINED
"ForgeRock, Inc._20221208_DEFM14A_20498573_4557310.Pdf",Effect on ForgeRock if the Merger is Not Completed,14,23,UNDEFINED,UNDEFINED
"ForgeRock, Inc._20221208_DEFM14A_20498573_4557310.Pdf",Litigation Relating to the Merger,14,23,UNDEFINED,UNDEFINED
"ForgeRock, Inc._20221208_DEFM14A_20498573_4557310.Pdf",QUESTIONS AND ANSWERS,15,24,UNDEFINED,UNDEFINED
"ForgeRock, Inc._20221208_DEFM14A_20498573_4557310.Pdf",FORWARD-LOOKING STATEMENTS,24,33,UNDEFINED,UNDEFINED
"ForgeRock, Inc._20221208_DEFM14A_20498573_4557310.Pdf",THE SPECIAL MEETING,26,12,UNDEFINED,UNDEFINED
