Document,Section Header,Section Text,Page Number
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,SUMMARY,UNDEFINED,1
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,QUESTIONS AND ANSWERS ABOUT THE SPECIAL MEETING AND THE MERGER,UNDEFINED,15
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,THE SPECIAL MEETING,UNDEFINED,24
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,"Date, Time and Place",UNDEFINED,24
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Purpose of the Special Meeting,UNDEFINED,24
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Record Date; Shares Entitled to Vote; Quorum,UNDEFINED,24
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Vote Required; Abstentions and Broker Non-Votes,UNDEFINED,25
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Stock Ownership and Interests of Certain Persons,UNDEFINED,25
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Voting of Proxies,UNDEFINED,25
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Revocability of Proxies,UNDEFINED,26
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Board of Directors’ Recommendation,UNDEFINED,27
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Expenses of Proxy Solicitation,UNDEFINED,27
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Anticipated Date of Completion of the Merger,UNDEFINED,27
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Other Matters,UNDEFINED,27
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Important Notice Regarding the Availability of Proxy Materials for the Special Meeting,UNDEFINED,27
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Householding of Special Meeting Materials,UNDEFINED,27
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Rights of Stockholders Who Assert Appraisal Rights,UNDEFINED,28
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Questions and Additional Information,UNDEFINED,29
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,CAUTIONARY STATEMENT CONCERNING FORWARD-LOOKING STATEMENTS,UNDEFINED,30
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,THE MERGER,UNDEFINED,32
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Parties Involved in the Merger,UNDEFINED,32
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Certain Effects of the Merger on GCP,UNDEFINED,33
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Effect on GCP if the Merger is Not Completed,UNDEFINED,33
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Merger Consideration,UNDEFINED,34
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Background of the Merger,UNDEFINED,34
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Recommendation of Our Board of Directors and Reasons for the Merger,UNDEFINED,47
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,"Opinion of RBC Capital Markets, LLC",UNDEFINED,51
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Certain Financial Projections,UNDEFINED,57
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Management Projections,UNDEFINED,58
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Interests of the Directors and Executive Officers of GCP in the Merger,UNDEFINED,60
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Appraisal Rights,UNDEFINED,69
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Accounting Treatment,UNDEFINED,75
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,UNDEFINED,75
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Regulatory Approvals Required for the Merger,UNDEFINED,79
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,THE MERGER AGREEMENT,UNDEFINED,82
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Explanatory Note Regarding the Merger Agreement and the Summary of the Merger Agreement,UNDEFINED,82
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Effects of the Merger; Directors and Officers; Certificate of Incorporation; Bylaws,UNDEFINED,83
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Closing and Effective Time of the Merger,UNDEFINED,83
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Merger Consideration,UNDEFINED,83
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Termination of GCP Equity Plans,UNDEFINED,84
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Dissenting Shares,UNDEFINED,85
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Exchange and Payment Procedures,UNDEFINED,85
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Guarantee,UNDEFINED,86
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Representations and Warranties,UNDEFINED,86
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Conduct of Business Pending the Merger,UNDEFINED,89
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,No Solicitation of Other Offers; Change of Recommendation,UNDEFINED,92
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Required Stockholder Vote,UNDEFINED,95
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,"Consents, Approvals and Filings",UNDEFINED,96
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Continuing Employees,UNDEFINED,98
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Directors’ and Officers’ Indemnification and Insurance,UNDEFINED,99
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Litigation Relating to the Merger,UNDEFINED,99
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Delisting and Deregulation of Our Common Stock,UNDEFINED,100
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Senior Notes,UNDEFINED,100
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Conditions to the Closing of the Merger,UNDEFINED,101
GCP Applied Technologies Inc._20220131_DEFM14A_19806508_4372223.Pdf,Termination of the Merger Agreement,UNDEFINED,102
