Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",SUMMARY TERM SHEET,1,10,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",CAUTIONARY NOTE REGARDING FORWARD-LOOKING STATEMENTS,19,28,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",THE SPECIAL MEETING,20,20,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf","Date, Time and Place",20,29,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Purpose of the Special Meeting,20,29,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Record Date; Shares Entitled to Vote; Quorum,20,29,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Vote Required; Abstentions and Broker Non-Votes,20,29,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Stock Ownership and Interests of Certain Persons,21,30,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Voting at the Special Meeting,21,30,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Revocability of Proxies,22,31,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Board’s Recommendation,22,31,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Solicitation of Proxies,22,31,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Anticipated Date of Completion of the Merger,23,32,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Appraisal Rights,23,32,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Delisting and Deregistration of GBT Common Stock,24,33,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Other Matters,24,33,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Householding of Special Meeting Materials,24,33,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Questions and Additional Information,24,33,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",PROPOSAL 1: ADOPTION OF THE MERGER AGREEMENT,25,34,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Parties Involved in the Merger,25,34,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Effect of the Merger,25,34,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Effect on GBT If the Merger Is Not Completed,26,35,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Merger Consideration,26,35,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Background of the Merger,27,36,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Recommendation of the Board and Reasons for the Merger,35,44,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Opinion of J.P. Morgan,40,49,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Opinion of Centerview,45,54,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Capped Call Transactions,52,61,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Certain Financial Forecasts,52,61,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Interests of GBT’s Directors and Executive Officers in the Merger,56,65,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Financing of the Merger,60,69,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Closing and Effective Time,60,69,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Accounting Treatment,60,69,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Appraisal Rights,60,69,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Litigation Related to the Merger,65,74,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Material U.S. Federal Income Tax Consequences of the Merger,65,74,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Regulatory Approvals Required for the Merger,68,77,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",THE MERGER AGREEMENT,70,34,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Effects of the Merger; Directors and Officers; Certificate of Incorporation; Bylaws,70,79,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Closing and Effective Time,71,80,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Merger Consideration,71,80,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Exchange and Payment Procedures,72,81,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Withholding,73,82,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Representations and Warranties,73,82,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Conduct of Business Pending the Merger,76,85,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Employee Benefits,81,90,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Cooperation as to Certain Indebtedness,81,90,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Indemnification and Insurance,83,92,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Other Covenants,84,93,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Conditions to the Closing of the Merger,87,96,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Termination of the Merger Agreement,88,97,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Termination Fees,90,99,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Specific Enforcement,91,100,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Limitations of Liability,91,100,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Expenses,91,100,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Amendments and Waivers,91,100,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Governing Law,91,100,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",PROPOSAL 2: THE COMPENSATION PROPOSAL,92,101,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",PROPOSAL 3: THE ADJOURNMENT PROPOSAL,93,102,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",SECURITY OWNERSHIP OF CERTAIN BENEFICIAL OWNERS AND MANAGEMENT,94,103,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",FUTURE STOCKHOLDER PROPOSALS,97,106,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",WHERE YOU CAN FIND MORE INFORMATION,98,107,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",MISCELLANEOUS,99,108,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf","Agreement and Plan of Merger, dated as of August 7, 2022",A-1,109,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Opinion of J.P. Morgan Securities LLC,B-1,172,UNDEFINED,UNDEFINED
"Global Blood Therapeutics, Inc._20220829_DEFM14A_20311227_4510555.Pdf",Opinion of Centerview Partners LLC,C-1,174,UNDEFINED,UNDEFINED
