Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",SUMMARY,1,8,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",QUESTIONS AND ANSWERS ABOUT THE SPECIAL MEETING AND THE MERGER,15,22,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",THE SPECIAL MEETING,23,22,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf","Date, Time and Place",23,30,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",Purpose of the Special Meeting,23,30,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",Record Date; Shares Entitled to Vote; Quorum,23,30,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",Vote Required; Abstentions and Broker Non-Votes,23,30,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",Stock Ownership and Interests of Certain Persons,24,31,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",Voting,24,31,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",Revocability of Proxies,25,32,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",Board of Directors’ Recommendation,25,32,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",Expenses of Proxy Solicitation,25,32,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",Anticipated Date of Completion of the Merger,26,33,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",Other Matters,26,33,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",Important Notice Regarding the Availability of Proxy Materials for the Special Meeting,26,33,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",Rights of Stockholders Who Assert Appraisal Rights,26,33,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",Questions and Additional Information,27,34,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",CAUTIONARY STATEMENT CONCERNING FORWARD-LOOKING STATEMENTS,28,35,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",THE MERGER,30,22,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",Parties Involved in the Merger,30,37,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",Certain Effects of the Merger on Hanger,31,38,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",Effect on Hanger if the Merger is Not Completed,31,38,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",Merger Consideration,31,38,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",Background of the Merger,32,39,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",Recommendation of Our Board of Directors and Reasons for the Merger,40,47,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf","Fairness Opinion of BofA Securities, Inc.",45,52,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",Certain Financial Projections,52,59,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",Interests of the Directors and Executive Officers of Hanger in the Merger,54,61,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",Financing of the Merger,60,67,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",Limited Guaranty,62,69,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",Transaction Litigation,63,70,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",Appraisal Rights,63,33,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",Accounting Treatment,69,76,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",U.S. Federal Income Tax Consequences of the Merger,69,76,UNDEFINED,UNDEFINED
"HANGER, INC._20220826_DEFM14A_20309851_4510081.Pdf",Regulatory Approvals Required for the Merger,72,79,UNDEFINED,UNDEFINED
