Document,Section Header,Section Text,Page Number
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",SUMMARY,UNDEFINED,1
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf","Hill-Rom Holdings, Inc.",UNDEFINED,1
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Baxter International Inc.,UNDEFINED,1
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Bel Air Subsidiary Inc.,UNDEFINED,2
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Structure of the Merger,UNDEFINED,2
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Treatment of Common Stock,UNDEFINED,2
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",No Dissenters’ Rights,UNDEFINED,2
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Treatment of Outstanding Equity Awards,UNDEFINED,2
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Recommendation of the Hillrom Board of Directors,UNDEFINED,3
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Opinion of Goldman Sachs & Co. LLC,UNDEFINED,3
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf","Opinion of BofA Securities, Inc.",UNDEFINED,4
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Financing of the Merger,UNDEFINED,4
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Material U.S. Federal Income Tax Consequences of the Merger,UNDEFINED,4
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Regulatory Clearances and Approvals Required for the Merger,UNDEFINED,5
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Closing and Effective Time of the Merger,UNDEFINED,5
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Conditions to the Completion of the Merger,UNDEFINED,6
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Non-Solicitation Covenant,UNDEFINED,6
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Changes in Board Recommendation,UNDEFINED,7
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Termination of the Merger Agreement,UNDEFINED,7
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Termination Fee Payable by Hillrom,UNDEFINED,8
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Termination Fee Payable by Baxter,UNDEFINED,8
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Remedies,UNDEFINED,9
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",The Special Meeting,UNDEFINED,9
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Interests of Hillrom’s Directors and Executive Officers in the Merger,UNDEFINED,10
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Directors’ and Officers’ Indemnification and Insurance,UNDEFINED,10
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Delisting and Deregistration of Hillrom Common Stock,UNDEFINED,10
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Litigation Relating to the Merger,UNDEFINED,10
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",QUESTIONS AND ANSWERS ABOUT THE SPECIAL MEETING AND THE MERGER,UNDEFINED,11
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",CAUTIONARY STATEMENT REGARDING FORWARD-LOOKING STATEMENTS,UNDEFINED,18
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",THE PARTIES TO THE MERGER,UNDEFINED,20
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf","Hill-Rom Holdings, Inc.",UNDEFINED,20
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Baxter International Inc.,UNDEFINED,20
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Bel Air Subsidiary Inc.,UNDEFINED,20
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",THE SPECIAL MEETING,UNDEFINED,21
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf","Date, Time and Place",UNDEFINED,21
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Purpose of the Special Meeting,UNDEFINED,21
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Recommendation of the Hillrom Board of Directors,UNDEFINED,21
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Record Date; Shareholders Entitled to Vote,UNDEFINED,21
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Quorum,UNDEFINED,21
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Required Vote,UNDEFINED,22
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Abstentions and Broker Non-Votes,UNDEFINED,22
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Failure to Vote,UNDEFINED,22
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Voting at the Special Meeting,UNDEFINED,23
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Shares Held in Name of Broker,UNDEFINED,24
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Solicitation of Proxies,UNDEFINED,24
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Adjournment,UNDEFINED,24
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Other Information,UNDEFINED,24
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",THE MERGER (PROPOSAL 1),UNDEFINED,25
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Effects of the Merger,UNDEFINED,25
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Effects on Hillrom if the Merger Is Not Completed,UNDEFINED,25
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Background of the Merger,UNDEFINED,25
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Reasons for the Merger,UNDEFINED,31
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Recommendation of the Hillrom Board of Directors,UNDEFINED,34
"Hill-Rom Holdings, Inc._20211020_DEFM14A_19594022_4314928.Pdf",Opinion of Goldman Sachs & Co. LLC,UNDEFINED,34
