Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,SUMMARY TERM SHEET,1,8,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,QUESTIONS AND ANSWERS ABOUT THE TRANSACTIONS AND SPECIAL MEETING,3,10,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,SUMMARY,8,8,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,The Parties,8,15,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,The Merger,9,16,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Consideration to be Paid in the Merger by HGV to Diamond Stockholders,10,17,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Recommendation of Our Board of Directors,10,17,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Opinion of Our Financial Advisor,11,18,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Interests of Our Directors and Executive Officers in the Merger,11,18,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Our Board of Directors Following the Merger,12,19,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Treatment of Diamond Equity-Based Awards,12,19,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Regulatory Clearances Required for the Merger,12,19,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Expected Timing of the Merger,13,20,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Conditions to Completion of the Merger,13,20,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Termination of the Merger Agreement,15,22,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Termination Fees and Expenses,16,23,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,No Rights of Appraisal for HGV Stockholders,16,23,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Listing of Shares of Our Common Stock,16,23,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,The Special Meeting,16,23,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Description of Debt Financing,17,24,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Securitization and Warehouse Facility,18,25,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Summary Consolidated Financial Data of Diamond,19,26,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Summary Consolidated Financial Data of HGV,20,27,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Summary Unaudited Pro Forma Condensed Combined Financial Information of HGV and Diamond,21,28,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,RISK FACTORS,22,29,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,THE PARTIES,34,15,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,SPECIAL NOTE ABOUT FORWARD-LOOKING STATEMENTS,36,43,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,THE SPECIAL MEETING,38,23,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,THE MERGER,43,16,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Effect of the Merger,43,50,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Background of the Merger,43,50,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Opinion of Our Financial Advisor,60,67,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Certain Unaudited Prospective Financial Information,70,77,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Interests of Our Directors and Executive Officers in the Merger,74,81,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Our Board of Directors Following the Merger,76,83,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Regulatory Clearances Required for the Merger,77,84,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Treatment of Diamond Equity-Based Awards,78,85,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Accounting Treatment,78,85,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,U.S. Federal Income Tax Consequences for Our Stockholders,78,85,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,NYSE Market Listing of Our Common Stock,78,85,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Description of Debt Financing,78,85,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Securitization and Warehouse Facility,82,89,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,No Rights of Appraisal for HGV Stockholders,84,91,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,THE MERGER AGREEMENT,85,22,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,The Merger,85,17,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Completion of the Merger,85,20,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Merger Consideration,86,93,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Conversion and Exchange of Shares of Diamond Common Stock,86,93,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Representations and Warranties,86,93,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Conduct of Business,89,96,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,No Solicitation of Alternative Proposals,94,101,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Change in HGV Board Recommendation,95,102,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Efforts to Obtain Required Stockholder Vote,95,102,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Efforts to Complete the Merger,95,102,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,"D&O Indemnification, Exculpation and Insurance",96,103,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Employee Benefits Matters,100,107,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Treatment of Equity Awards,101,108,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Conditions to Completion of the Merger,102,109,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Termination of the Merger Agreement,103,110,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Termination Fees and Expenses,104,111,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Amendment and Modification,104,111,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,No Third-Party Beneficiaries,105,112,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Specific Performance,105,112,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,OTHER AGREEMENTS,106,113,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Stockholders Agreement,106,113,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,Hilton Agreements and Consent,109,116,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,MANAGEMENT’S DISCUSSION AND ANALYSIS OF FINANCIAL CONDITION AND RESULTS OF OPERATIONS OF DIAMOND,111,118,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,UNAUDITED PRO FORMA CONDENSED COMBINED FINANCIAL INFORMATION OF HGV AND DIAMOND,136,143,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,SECURITY OWNERSHIP OF HGV,149,156,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,PROPOSAL NUMBER 1: APPROVAL OF ISSUANCE OF COMMON STOCK,151,158,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,PROPOSAL NUMBER 2: COMPENSATION PROPOSAL,152,159,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,PROPOSAL NUMBER 3: ADJOURNMENT,153,160,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,FUTURE STOCKHOLDER PROPOSALS,154,161,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,OTHER MATTERS,154,161,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,HOUSEHOLDING,154,161,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,WHERE YOU CAN FIND MORE INFORMATION AND INCORPORATION BY REFERENCE,155,162,UNDEFINED,UNDEFINED
Hilton Grand Vacations Inc._20210621_DEFM14A_19358725_4243052.Pdf,INDEX – FINANCIAL STATEMENTS,F-1,164,UNDEFINED,UNDEFINED
