Document,Section Header,Section Text,Page Number
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",SUMMARY,UNDEFINED,1
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Parties Involved in the Merger,UNDEFINED,1
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",The Merger,UNDEFINED,1
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Merger Consideration,UNDEFINED,2
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Material U.S. Federal Income Tax Consequences of the Merger,UNDEFINED,3
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Appraisal Rights,UNDEFINED,3
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Regulatory Approvals Required for the Merger,UNDEFINED,4
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Closing Conditions,UNDEFINED,4
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Required Stockholder Approval,UNDEFINED,4
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",The Special Meeting,UNDEFINED,5
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Recommendation of the Intersect ENT Board,UNDEFINED,5
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Opinion of Goldman Sachs & Co. LLC,UNDEFINED,6
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Interests of Intersect ENT’s Directors and Executive Officers in the Merger,UNDEFINED,6
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Alternative Acquisition Proposals,UNDEFINED,7
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Termination of the Merger Agreement,UNDEFINED,7
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Effect on Intersect ENT if the Merger is Not Completed,UNDEFINED,8
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",QUESTIONS AND ANSWERS,UNDEFINED,9
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",FORWARD-LOOKING STATEMENTS,UNDEFINED,15
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",THE SPECIAL MEETING,UNDEFINED,17
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf","Date, Time and Place",UNDEFINED,17
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Purpose of the Special Meeting,UNDEFINED,17
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Record Date; Shares Entitled to Vote; Quorum,UNDEFINED,17
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Vote Required; Abstentions and Broker Non-Votes,UNDEFINED,17
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Shares Held by Intersect ENT’s Directors and Executive Officers,UNDEFINED,18
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Voting of Proxies,UNDEFINED,18
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Revocability of Proxies,UNDEFINED,19
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Intersect ENT Board’s Recommendation,UNDEFINED,19
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Solicitation of Proxies,UNDEFINED,19
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Anticipated Date of Completion of the Merger,UNDEFINED,19
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Delisting and Deregistration of Intersect ENT’s Common Stock,UNDEFINED,19
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Other Matters,UNDEFINED,20
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf","Important Notice Regarding the Availability of Proxy Materials for the Stockholder Meeting to be Held on October 8, 2021",UNDEFINED,20
"Intersect ENT, Inc._20210907_DEFM14A_19520364_4290965.Pdf",Householding of Special Meeting Materials,UNDEFINED,20
