Document,Section Header,Section Text,Page Number
KANSAS CITY SOUTHERN_20211103_DEFM14A_19625972_4325028.Pdf,FREQUENTLY USED TERMS,UNDEFINED,x
KANSAS CITY SOUTHERN_20211103_DEFM14A_19625972_4325028.Pdf,QUESTIONS AND ANSWERS ABOUT THE TRANSACTION AND THE SPECIAL MEETING,UNDEFINED,xviii
KANSAS CITY SOUTHERN_20211103_DEFM14A_19625972_4325028.Pdf,SUMMARY,UNDEFINED,1
KANSAS CITY SOUTHERN_20211103_DEFM14A_19625972_4325028.Pdf,Information about the Companies,UNDEFINED,1
KANSAS CITY SOUTHERN_20211103_DEFM14A_19625972_4325028.Pdf,Risk Factors,UNDEFINED,3
KANSAS CITY SOUTHERN_20211103_DEFM14A_19625972_4325028.Pdf,The Transaction and the Merger Agreement,UNDEFINED,4
KANSAS CITY SOUTHERN_20211103_DEFM14A_19625972_4325028.Pdf,Merger Consideration,UNDEFINED,4
KANSAS CITY SOUTHERN_20211103_DEFM14A_19625972_4325028.Pdf,KCS Board of Directors’ Recommendation,UNDEFINED,4
KANSAS CITY SOUTHERN_20211103_DEFM14A_19625972_4325028.Pdf,The Voting Trust,UNDEFINED,5
KANSAS CITY SOUTHERN_20211103_DEFM14A_19625972_4325028.Pdf,Comparative Per Share Market Price Information,UNDEFINED,5
KANSAS CITY SOUTHERN_20211103_DEFM14A_19625972_4325028.Pdf,Opinions of KCS’s Financial Advisors,UNDEFINED,6
KANSAS CITY SOUTHERN_20211103_DEFM14A_19625972_4325028.Pdf,The KCS Special Meeting,UNDEFINED,7
KANSAS CITY SOUTHERN_20211103_DEFM14A_19625972_4325028.Pdf,The CPRL Special Meeting and Shareholder Approval,UNDEFINED,8
KANSAS CITY SOUTHERN_20211103_DEFM14A_19625972_4325028.Pdf,Listing of CPRL Common Shares,UNDEFINED,9
KANSAS CITY SOUTHERN_20211103_DEFM14A_19625972_4325028.Pdf,Delisting and Deregistration of KCS Common Stock,UNDEFINED,9
KANSAS CITY SOUTHERN_20211103_DEFM14A_19625972_4325028.Pdf,Debt Financing,UNDEFINED,10
KANSAS CITY SOUTHERN_20211103_DEFM14A_19625972_4325028.Pdf,Certain U.S. Federal Income Tax Consequences,UNDEFINED,10
KANSAS CITY SOUTHERN_20211103_DEFM14A_19625972_4325028.Pdf,Certain Canadian Federal Income Tax Consequences,UNDEFINED,11
KANSAS CITY SOUTHERN_20211103_DEFM14A_19625972_4325028.Pdf,Accounting Treatment of the Transaction,UNDEFINED,12
KANSAS CITY SOUTHERN_20211103_DEFM14A_19625972_4325028.Pdf,Regulatory Approvals Required for the Transaction,UNDEFINED,12
