Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",SUMMARY,1,7,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",QUESTIONS AND ANSWERS ABOUT THE SPECIAL MEETING AND THE MERGER,10,16,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",CAUTIONARY STATEMENT REGARDING FORWARD-LOOKING STATEMENTS,17,23,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",PARTIES TO THE MERGER,18,24,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",The Company,18,24,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",Sanofi,18,24,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",Merger Sub,18,24,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",THE SPECIAL MEETING,19,16,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf","Time, Place and Purpose of the Special Meeting",19,25,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",Record Date and Quorum,19,25,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",Attendance,19,25,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",Vote Required,20,26,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",Litigation Related to the Merger,21,27,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",Shares Held by the Company’s Directors and Executive Officers,21,27,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",Proxies and Revocation,21,27,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",Adjournments,22,28,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",Anticipated Date of Completion of the Merger,22,28,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",Rights of Stockholders Who Seek Appraisal,22,28,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",Solicitation of Proxies; Payment of Solicitation Expenses,22,28,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",Questions and Additional Information,22,28,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",THE MERGER,23,16,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",Background of the Merger,23,29,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",Recommendation of the Board of Directors and Reasons for the Merger,29,35,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",Opinions of the Company Financial Advisors,33,39,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",Company Projections,45,51,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",Financing of the Merger,48,54,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",Closing and the Effective Time,49,55,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",Payment of Merger Consideration and Surrender of Stock Certificates,49,55,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",Interests of Directors and Executive Officers in the Merger,49,55,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",Material U.S. Federal Income Tax Consequences of the Merger,52,58,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",Regulatory Approvals,55,61,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",THE MERGER AGREEMENT,56,62,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",PROPOSAL 1: ADOPTION OF THE MERGER AGREEMENT,74,80,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",PROPOSAL 2: ADJOURNMENT OF THE SPECIAL MEETING,75,81,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",MARKET PRICE OF COMMON STOCK,76,82,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",SECURITY OWNERSHIP OF CERTAIN BENEFICIAL OWNERS AND MANAGEMENT,77,83,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",APPRAISAL RIGHTS,79,85,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",DELISTING AND DEREGISTRATION OF COMMON STOCK,83,89,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",STOCKHOLDER PROPOSALS,84,90,UNDEFINED,UNDEFINED
"Kadmon Holdings, Inc._20211004_DEFM14A_19567888_4305283.Pdf",WHERE YOU CAN FIND MORE INFORMATION,85,91,UNDEFINED,UNDEFINED
