Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
"KnowBe4, Inc._20221222_DEFM14A_20521596_4563944.Pdf",DEFINED TERMS,iv,10,UNDEFINED,UNDEFINED
"KnowBe4, Inc._20221222_DEFM14A_20521596_4563944.Pdf",SUMMARY TERM SHEET,1,14,UNDEFINED,UNDEFINED
"KnowBe4, Inc._20221222_DEFM14A_20521596_4563944.Pdf",Introduction,1,14,UNDEFINED,UNDEFINED
"KnowBe4, Inc._20221222_DEFM14A_20521596_4563944.Pdf",The Parties to the Merger,1,14,UNDEFINED,UNDEFINED
"KnowBe4, Inc._20221222_DEFM14A_20521596_4563944.Pdf",The Special Meeting,2,15,UNDEFINED,UNDEFINED
"KnowBe4, Inc._20221222_DEFM14A_20521596_4563944.Pdf",Votes Required,3,16,UNDEFINED,UNDEFINED
"KnowBe4, Inc._20221222_DEFM14A_20521596_4563944.Pdf",Intent of KnowBe4’s Directors and Executive Officers and Certain Stockholders to Vote in Favor of the Merger,3,16,UNDEFINED,UNDEFINED
"KnowBe4, Inc._20221222_DEFM14A_20521596_4563944.Pdf",Reasons for the Merger; Recommendations of the Special Committee and the KnowBe4 Board,4,17,UNDEFINED,UNDEFINED
"KnowBe4, Inc._20221222_DEFM14A_20521596_4563944.Pdf",Opinion of Morgan Stanley & Co. LLC,5,18,UNDEFINED,UNDEFINED
"KnowBe4, Inc._20221222_DEFM14A_20521596_4563944.Pdf",Position of the Purchaser Filing Parties as to the Fairness of the Merger,5,18,UNDEFINED,UNDEFINED
"KnowBe4, Inc._20221222_DEFM14A_20521596_4563944.Pdf",Certain Effects of the Merger,5,18,UNDEFINED,UNDEFINED
"KnowBe4, Inc._20221222_DEFM14A_20521596_4563944.Pdf",Treatment of Shares and Equity Awards,6,19,UNDEFINED,UNDEFINED
"KnowBe4, Inc._20221222_DEFM14A_20521596_4563944.Pdf",Certain Effects on KnowBe4 if the Merger is Not Completed,8,21,UNDEFINED,UNDEFINED
