Document,Section Header,Section Text,Page Number
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,SUMMARY,UNDEFINED,1
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,"The Separation, Distribution, Spin-Off and Merger",UNDEFINED,2
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Treatment of Equity Awards,UNDEFINED,4
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Voting and Support Agreement,UNDEFINED,7
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,The Special Meeting,UNDEFINED,8
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,The Merger Agreement,UNDEFINED,10
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Separation and Distribution Agreement,UNDEFINED,12
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Employee Matters Agreement,UNDEFINED,13
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Tax Matters Agreement,UNDEFINED,14
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Transition Services Agreement,UNDEFINED,14
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Financing of the Transactions,UNDEFINED,14
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Expected Timing,UNDEFINED,15
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Risk Factors,UNDEFINED,15
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Unaudited Pro Forma Condensed Consolidated Financial Statements,UNDEFINED,15
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,QUESTIONS AND ANSWERS ABOUT THE MERGER,UNDEFINED,26
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,RISK FACTORS RELATED TO PROPOSAL 1,UNDEFINED,37
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,CAUTION REGARDING FORWARD-LOOKING STATEMENTS,UNDEFINED,42
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,THE COMPANIES,UNDEFINED,43
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Meredith Corporation,UNDEFINED,43
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,"Gray Television, Inc.",UNDEFINED,43
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,"Gray Hawkeye Stations, Inc.",UNDEFINED,43
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Meredith Holdings Corporation,UNDEFINED,43
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,THE SPECIAL MEETING,UNDEFINED,45
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,"Date, Time and Place",UNDEFINED,45
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Purpose of the Special Meeting,UNDEFINED,45
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Record Date; Stock Entitled to Vote; Quorum,UNDEFINED,45
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Vote Required,UNDEFINED,45
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Voting of Proxies,UNDEFINED,46
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Voting over the Internet or by Telephone,UNDEFINED,47
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Revocability of Proxies,UNDEFINED,48
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Solicitation of Proxies,UNDEFINED,48
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Delivery of this Proxy Statement to Multiple Shareholders with the Same Address,UNDEFINED,48
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Shareholder List,UNDEFINED,49
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,PROPOSAL 1 — ADOPTION OF THE MERGER AGREEMENT THE MERGER,UNDEFINED,50
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Transaction Steps,UNDEFINED,50
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Reasons for the Transaction and Reasons for the Recommendation of Our Board,UNDEFINED,51
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Background of the Merger,UNDEFINED,58
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Opinion of Meredith’s Financial Advisor,UNDEFINED,77
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Certain Financial Forecasts Utilized by Meredith in Connection with the Merger,UNDEFINED,83
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Vote Required and Recommendation of the Board of Directors,UNDEFINED,85
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Interests of Our Directors and Executive Officers in the Merger,UNDEFINED,85
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Voting and Support Agreement,UNDEFINED,91
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Appraisal Rights,UNDEFINED,92
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Delisting and Deregistration of Meredith Common Stock and Meredith Class B Stock,UNDEFINED,95
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Certain Material U.S. Federal Income Tax Consequences of the Distribution and the Merger,UNDEFINED,95
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Regulatory Approvals Required for the Merger,UNDEFINED,99
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Financing of the Transactions,UNDEFINED,100
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,THE MERGER AGREEMENT,UNDEFINED,103
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Effects of the Merger; Directors and Executive Officers; Certificate of Incorporation; Bylaws,UNDEFINED,103
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Closing and Effective Time,UNDEFINED,104
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Merger Consideration,UNDEFINED,104
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Exchange and Payment Procedures,UNDEFINED,105
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Representations and Warranties,UNDEFINED,106
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Conduct of Business Pending the Merger,UNDEFINED,109
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,No Solicitation by the Company,UNDEFINED,112
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,The Board of Directors’ Recommendation; Company Board Recommendation Changes,UNDEFINED,115
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Employee Benefits,UNDEFINED,116
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Efforts to Close the Merger; Antitrust Filings,UNDEFINED,117
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Delisting and Deregistration of Meredith Common Stock and Meredith Class B Stock,UNDEFINED,119
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Financing,UNDEFINED,119
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Other Covenants,UNDEFINED,120
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Conditions to the Closing of the Merger,UNDEFINED,120
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Termination of the Merger Agreement,UNDEFINED,122
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Termination Fees,UNDEFINED,124
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Sole and Exclusive Remedy; Limitations of Liability,UNDEFINED,124
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Specific Performance,UNDEFINED,125
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,Fees and Expenses,UNDEFINED,125
MEREDITH CORP_20211108_DEFM14A_19636450_4328874.Pdf,No Third Party Beneficiaries,UNDEFINED,125
