Document,Section Header,Section Text,Page Number
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,SUMMARY,UNDEFINED,1
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,The Parties to the Merger,UNDEFINED,1
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,The Merger,UNDEFINED,2
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Effect on Meridian if the Merger Is Not Completed,UNDEFINED,3
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Merger Consideration,UNDEFINED,3
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Treatment of Meridian Equity Awards,UNDEFINED,3
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Recommendation of the Meridian Board,UNDEFINED,4
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Opinion of Meridian’s Financial Advisor,UNDEFINED,4
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Financing of the Merger,UNDEFINED,4
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,UNDEFINED,5
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Regulatory Clearances and Approvals Required for the Merger,UNDEFINED,5
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Expected Timing of the Merger,UNDEFINED,6
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Conditions to the Completion of the Merger,UNDEFINED,6
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Restrictions on Solicitation of Alternative Proposals,UNDEFINED,7
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Changes in Meridian Board Recommendation,UNDEFINED,8
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Termination of the Merger Agreement,UNDEFINED,8
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Termination Fee Payable by Meridian,UNDEFINED,9
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Exclusive Remedy,UNDEFINED,10
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Dissenters’ Rights,UNDEFINED,10
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,The Special Meeting,UNDEFINED,11
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Interests of Meridian’s Directors and Executive Officers in the Merger,UNDEFINED,11
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Directors’ and Officers’ Indemnification,UNDEFINED,12
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Delisting and Deregistration of Meridian Common Stock,UNDEFINED,12
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Litigation Relating to the Merger,UNDEFINED,12
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,QUESTIONS AND ANSWERS ABOUT THE SPECIAL MEETING AND THE MERGER,UNDEFINED,13
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,CAUTIONARY STATEMENT REGARDING FORWARD-LOOKING STATEMENTS,UNDEFINED,22
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,PARTIES TO THE MERGER,UNDEFINED,24
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,"Meridian Bioscience, Inc.",UNDEFINED,24
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,"SD Biosensor, Inc.",UNDEFINED,24
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Columbus Holding Company,UNDEFINED,24
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Madeira Acquisition Corp.,UNDEFINED,24
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,THE SPECIAL MEETING,UNDEFINED,25
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,"Date, Time and Place",UNDEFINED,25
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Purpose of the Special Meeting,UNDEFINED,25
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Recommendation of the Meridian Board,UNDEFINED,25
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Record Date; Shareholders Entitled to Vote,UNDEFINED,26
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Shares Held by Meridian’s Directors and Executive Officers,UNDEFINED,26
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Quorum,UNDEFINED,26
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Required Vote,UNDEFINED,26
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Abstentions,UNDEFINED,26
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Broker Non-Votes,UNDEFINED,27
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Failure to Vote,UNDEFINED,27
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Voting at the Special Meeting,UNDEFINED,27
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Shares Held in Name of Broker,UNDEFINED,29
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Solicitation of Proxies,UNDEFINED,29
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Adjournment,UNDEFINED,29
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Other Matters,UNDEFINED,29
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Other Information,UNDEFINED,30
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,Questions and Additional Information,UNDEFINED,30
MERIDIAN BIOSCIENCE INC_20220908_DEFM14A_20331967_4514903.Pdf,THE MERGER (PROPOSAL 1),UNDEFINED,31
