Document,Section Header,Section Text,Page Number
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",THE MERGER AGREEMENT,UNDEFINED,44
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",Explanatory Note Regarding the Merger Agreement,UNDEFINED,44
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",i,UNDEFINED,
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",Structure of the Merger; Certificate of Incorporation; Bylaws; Directors and Officers,UNDEFINED,44
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",When the Merger Becomes Effective,UNDEFINED,44
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",Effect of the Merger on the Common Stock,UNDEFINED,45
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",Treatment of Outstanding Equity Awards,UNDEFINED,45
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",Payment for Common Stock in the Merger,UNDEFINED,46
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",Representations and Warranties,UNDEFINED,46
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",Conduct of Business Pending the Merger,UNDEFINED,48
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",Access,UNDEFINED,51
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",Company Takeover Proposal; Non-Solicitation,UNDEFINED,52
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",Company Shareholders Meeting,UNDEFINED,55
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",Financing Cooperation,UNDEFINED,55
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",Employee Matters,UNDEFINED,56
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",Efforts to Complete the Merger,UNDEFINED,57
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",Indemnification and Insurance,UNDEFINED,58
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",Coordination on Transaction Litigation,UNDEFINED,58
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",Conduct of Parent and Merger Sub Pending the Merger,UNDEFINED,59
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",Other Covenants and Agreements,UNDEFINED,59
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",Conditions to Completion of the Merger,UNDEFINED,59
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",Termination,UNDEFINED,60
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",Company Termination Fee,UNDEFINED,62
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",Parent Termination Fee,UNDEFINED,62
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",Limitation on Remedies,UNDEFINED,63
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",Expenses,UNDEFINED,63
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",Amendment and Modification,UNDEFINED,63
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf","Governing Law and Venue, Waiver of Jury Trial; Specific Performance",UNDEFINED,63
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",ADVISORY VOTE ON NAMED EXECUTIVE OFFICER MERGER-RELATED COMPENSATION,UNDEFINED,64
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",VOTE ON ADJOURNMENT,UNDEFINED,65
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",SECURITY OWNERSHIP OF CERTAIN BENEFICIAL OWNERS AND MANAGEMENT,UNDEFINED,66
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",NO DISSENTERS’ RIGHTS,UNDEFINED,67
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",MULTIPLE SHAREHOLDERS SHARING ONE ADDRESS,UNDEFINED,68
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",SUBMISSION OF SHAREHOLDER PROPOSALS,UNDEFINED,69
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",WHERE YOU CAN FIND ADDITIONAL INFORMATION,UNDEFINED,70
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf",ANNEX A Agreement and Plan of Merger,UNDEFINED,
"MERITOR, INC._20220418_DEFM14A_20019751_4444368.Pdf","ANNEX B Opinion, dated February 21, 2022, of J.P. Morgan Securities LLC",UNDEFINED,
