Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
MOMENTIVE GLOBAL INC._20230427_DEFM14A_20826404_4653973.Pdf,TABLE OF CONTENTS,,6,UNDEFINED,UNDEFINED
MOMENTIVE GLOBAL INC._20230427_DEFM14A_20826404_4653973.Pdf,TRANSACTION SUMMARY,4,10,UNDEFINED,UNDEFINED
MOMENTIVE GLOBAL INC._20230427_DEFM14A_20826404_4653973.Pdf,Introduction,4,10,UNDEFINED,UNDEFINED
MOMENTIVE GLOBAL INC._20230427_DEFM14A_20826404_4653973.Pdf,Parties Involved in the Merger,4,10,UNDEFINED,UNDEFINED
MOMENTIVE GLOBAL INC._20230427_DEFM14A_20826404_4653973.Pdf,Effect of the Merger,5,11,UNDEFINED,UNDEFINED
MOMENTIVE GLOBAL INC._20230427_DEFM14A_20826404_4653973.Pdf,Per Share Price,5,11,UNDEFINED,UNDEFINED
MOMENTIVE GLOBAL INC._20230427_DEFM14A_20826404_4653973.Pdf,The Special Meeting,6,12,UNDEFINED,UNDEFINED
MOMENTIVE GLOBAL INC._20230427_DEFM14A_20826404_4653973.Pdf,Recommendation of the Momentive Board and Reasons for the Merger,7,13,UNDEFINED,UNDEFINED
MOMENTIVE GLOBAL INC._20230427_DEFM14A_20826404_4653973.Pdf,Opinion of Qatalyst Partners LP,7,13,UNDEFINED,UNDEFINED
MOMENTIVE GLOBAL INC._20230427_DEFM14A_20826404_4653973.Pdf,Treatment of Equity Awards in the Merger,8,14,UNDEFINED,UNDEFINED
MOMENTIVE GLOBAL INC._20230427_DEFM14A_20826404_4653973.Pdf,Treatment of the ESPP in connection with the Merger,9,15,UNDEFINED,UNDEFINED
MOMENTIVE GLOBAL INC._20230427_DEFM14A_20826404_4653973.Pdf,Interests of Momentive’s Directors and Executive Officers in the Merger,9,15,UNDEFINED,UNDEFINED
MOMENTIVE GLOBAL INC._20230427_DEFM14A_20826404_4653973.Pdf,Appraisal Rights,10,16,UNDEFINED,UNDEFINED
MOMENTIVE GLOBAL INC._20230427_DEFM14A_20826404_4653973.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,11,17,UNDEFINED,UNDEFINED
MOMENTIVE GLOBAL INC._20230427_DEFM14A_20826404_4653973.Pdf,Regulatory Approvals Required for the Merger,11,17,UNDEFINED,UNDEFINED
MOMENTIVE GLOBAL INC._20230427_DEFM14A_20826404_4653973.Pdf,Financing of the Merger,11,17,UNDEFINED,UNDEFINED
MOMENTIVE GLOBAL INC._20230427_DEFM14A_20826404_4653973.Pdf,Limited Guaranty,12,18,UNDEFINED,UNDEFINED
MOMENTIVE GLOBAL INC._20230427_DEFM14A_20826404_4653973.Pdf,The Voting Agreements,12,18,UNDEFINED,UNDEFINED
MOMENTIVE GLOBAL INC._20230427_DEFM14A_20826404_4653973.Pdf,No Solicitation of Other Acquisition Offers,13,19,UNDEFINED,UNDEFINED
MOMENTIVE GLOBAL INC._20230427_DEFM14A_20826404_4653973.Pdf,Change in the Momentive Board’s Recommendation,14,20,UNDEFINED,UNDEFINED
MOMENTIVE GLOBAL INC._20230427_DEFM14A_20826404_4653973.Pdf,Conditions to the Closing of the Merger,14,20,UNDEFINED,UNDEFINED
MOMENTIVE GLOBAL INC._20230427_DEFM14A_20826404_4653973.Pdf,Termination of the Merger Agreement,15,21,UNDEFINED,UNDEFINED
