Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
MONEYGRAM INTERNATIONAL INC_20220421_DEFM14A_20027475_4446252.Pdf,SUMMARY,1,8,UNDEFINED,UNDEFINED
MONEYGRAM INTERNATIONAL INC_20220421_DEFM14A_20027475_4446252.Pdf,Defined Terms,1,8,UNDEFINED,UNDEFINED
MONEYGRAM INTERNATIONAL INC_20220421_DEFM14A_20027475_4446252.Pdf,The Parties to the Merger,3,10,UNDEFINED,UNDEFINED
MONEYGRAM INTERNATIONAL INC_20220421_DEFM14A_20027475_4446252.Pdf,"MoneyGram International, Inc.",3,10,UNDEFINED,UNDEFINED
MONEYGRAM INTERNATIONAL INC_20220421_DEFM14A_20027475_4446252.Pdf,"Madison Dearborn Partners, LLC",4,11,UNDEFINED,UNDEFINED
MONEYGRAM INTERNATIONAL INC_20220421_DEFM14A_20027475_4446252.Pdf,Mobius Parent Corp.,4,11,UNDEFINED,UNDEFINED
MONEYGRAM INTERNATIONAL INC_20220421_DEFM14A_20027475_4446252.Pdf,"Mobius Merger Sub, Inc.",4,11,UNDEFINED,UNDEFINED
MONEYGRAM INTERNATIONAL INC_20220421_DEFM14A_20027475_4446252.Pdf,The Special Meeting,4,11,UNDEFINED,UNDEFINED
MONEYGRAM INTERNATIONAL INC_20220421_DEFM14A_20027475_4446252.Pdf,"Date, Time and Place",4,11,UNDEFINED,UNDEFINED
MONEYGRAM INTERNATIONAL INC_20220421_DEFM14A_20027475_4446252.Pdf,"Record Date, Stock Entitled to Vote and Quorum",4,11,UNDEFINED,UNDEFINED
MONEYGRAM INTERNATIONAL INC_20220421_DEFM14A_20027475_4446252.Pdf,Votes Required,5,12,UNDEFINED,UNDEFINED
MONEYGRAM INTERNATIONAL INC_20220421_DEFM14A_20027475_4446252.Pdf,The Merger,5,10,UNDEFINED,UNDEFINED
MONEYGRAM INTERNATIONAL INC_20220421_DEFM14A_20027475_4446252.Pdf,Description of the Merger,5,12,UNDEFINED,UNDEFINED
MONEYGRAM INTERNATIONAL INC_20220421_DEFM14A_20027475_4446252.Pdf,Reasons for the Merger and Recommendation of Our Board of Directors,5,12,UNDEFINED,UNDEFINED
MONEYGRAM INTERNATIONAL INC_20220421_DEFM14A_20027475_4446252.Pdf,Opinion of MoneyGram’s Financial Advisor Regarding the Merger Consideration,7,14,UNDEFINED,UNDEFINED
