Document,Section Header,Section Text,Page Number
MONMOUTH REAL ESTATE INVESTMENT CORP_20211221_DEFM14A_19731738_4356032.Pdf,SUMMARY,UNDEFINED,1
MONMOUTH REAL ESTATE INVESTMENT CORP_20211221_DEFM14A_19731738_4356032.Pdf,The Companies,UNDEFINED,1
MONMOUTH REAL ESTATE INVESTMENT CORP_20211221_DEFM14A_19731738_4356032.Pdf,Proposals,UNDEFINED,1
MONMOUTH REAL ESTATE INVESTMENT CORP_20211221_DEFM14A_19731738_4356032.Pdf,Special Meeting of Shareholders of Monmouth,UNDEFINED,3
MONMOUTH REAL ESTATE INVESTMENT CORP_20211221_DEFM14A_19731738_4356032.Pdf,The Merger,UNDEFINED,3
MONMOUTH REAL ESTATE INVESTMENT CORP_20211221_DEFM14A_19731738_4356032.Pdf,The Merger Agreement,UNDEFINED,6
MONMOUTH REAL ESTATE INVESTMENT CORP_20211221_DEFM14A_19731738_4356032.Pdf,Other Items,UNDEFINED,9
MONMOUTH REAL ESTATE INVESTMENT CORP_20211221_DEFM14A_19731738_4356032.Pdf,QUESTIONS AND ANSWERS ABOUT THE SPECIAL MEETING,UNDEFINED,10
MONMOUTH REAL ESTATE INVESTMENT CORP_20211221_DEFM14A_19731738_4356032.Pdf,CAUTIONARY STATEMENT REGARDING FORWARD-LOOKING STATEMENTS,UNDEFINED,16
MONMOUTH REAL ESTATE INVESTMENT CORP_20211221_DEFM14A_19731738_4356032.Pdf,PROPOSAL 1 THE MERGER PROPOSAL,UNDEFINED,17
MONMOUTH REAL ESTATE INVESTMENT CORP_20211221_DEFM14A_19731738_4356032.Pdf,Required Vote and Board of Directors’ Recommendation,UNDEFINED,17
MONMOUTH REAL ESTATE INVESTMENT CORP_20211221_DEFM14A_19731738_4356032.Pdf,PROPOSAL 2 THE COMPENSATION PROPOSAL,UNDEFINED,18
MONMOUTH REAL ESTATE INVESTMENT CORP_20211221_DEFM14A_19731738_4356032.Pdf,Required Vote and Board of Directors’ Recommendation,UNDEFINED,18
MONMOUTH REAL ESTATE INVESTMENT CORP_20211221_DEFM14A_19731738_4356032.Pdf,PROPOSAL 3 THE ADJOURNMENT PROPOSAL,UNDEFINED,19
MONMOUTH REAL ESTATE INVESTMENT CORP_20211221_DEFM14A_19731738_4356032.Pdf,Required Vote and Board of Directors’ Recommendation,UNDEFINED,19
MONMOUTH REAL ESTATE INVESTMENT CORP_20211221_DEFM14A_19731738_4356032.Pdf,INFORMATION ABOUT THE COMPANIES,UNDEFINED,20
MONMOUTH REAL ESTATE INVESTMENT CORP_20211221_DEFM14A_19731738_4356032.Pdf,Monmouth Real Estate Investment Corporation,UNDEFINED,20
MONMOUTH REAL ESTATE INVESTMENT CORP_20211221_DEFM14A_19731738_4356032.Pdf,Industrial Logistics Properties Trust,UNDEFINED,20
MONMOUTH REAL ESTATE INVESTMENT CORP_20211221_DEFM14A_19731738_4356032.Pdf,Maple Delaware Merger Sub LLC,UNDEFINED,20
MONMOUTH REAL ESTATE INVESTMENT CORP_20211221_DEFM14A_19731738_4356032.Pdf,THE SPECIAL MEETING,UNDEFINED,21
MONMOUTH REAL ESTATE INVESTMENT CORP_20211221_DEFM14A_19731738_4356032.Pdf,"Date, Time, Place and Purpose of the Special Meeting",UNDEFINED,21
