Document,Section Header,Section Text,Page Number
"Mandiant, Inc._20220428_DEFM14A_20042183_4449873.Pdf",SUMMARY,UNDEFINED,1
"Mandiant, Inc._20220428_DEFM14A_20042183_4449873.Pdf",Introduction,UNDEFINED,1
"Mandiant, Inc._20220428_DEFM14A_20042183_4449873.Pdf",Parties Involved in the Merger,UNDEFINED,1
"Mandiant, Inc._20220428_DEFM14A_20042183_4449873.Pdf",Effects of the Merger,UNDEFINED,2
"Mandiant, Inc._20220428_DEFM14A_20042183_4449873.Pdf",Per Share Price,UNDEFINED,2
"Mandiant, Inc._20220428_DEFM14A_20042183_4449873.Pdf",The Special Meeting,UNDEFINED,2
"Mandiant, Inc._20220428_DEFM14A_20042183_4449873.Pdf",Recommendation of the Mandiant Board and Reasons for the Merger,UNDEFINED,4
"Mandiant, Inc._20220428_DEFM14A_20042183_4449873.Pdf",Opinion of Goldman Sachs & Co. LLC,UNDEFINED,4
"Mandiant, Inc._20220428_DEFM14A_20042183_4449873.Pdf",Treatment of Equity Awards in the Merger,UNDEFINED,4
"Mandiant, Inc._20220428_DEFM14A_20042183_4449873.Pdf",Employee Benefits,UNDEFINED,6
"Mandiant, Inc._20220428_DEFM14A_20042183_4449873.Pdf",Interests of Mandiant’s Directors and Executive Officers in the Merger,UNDEFINED,7
"Mandiant, Inc._20220428_DEFM14A_20042183_4449873.Pdf",Appraisal Rights,UNDEFINED,7
"Mandiant, Inc._20220428_DEFM14A_20042183_4449873.Pdf",Material U.S. Federal Income Tax Consequences of the Merger,UNDEFINED,8
"Mandiant, Inc._20220428_DEFM14A_20042183_4449873.Pdf",Regulatory Approvals Required for the Merger,UNDEFINED,9
"Mandiant, Inc._20220428_DEFM14A_20042183_4449873.Pdf",Financing of the Merger,UNDEFINED,9
"Mandiant, Inc._20220428_DEFM14A_20042183_4449873.Pdf",The Voting Agreements,UNDEFINED,10
"Mandiant, Inc._20220428_DEFM14A_20042183_4449873.Pdf",Conversion of Convertible Preferred Stock,UNDEFINED,10
"Mandiant, Inc._20220428_DEFM14A_20042183_4449873.Pdf",No Solicitation of Other Acquisition Offers,UNDEFINED,11
"Mandiant, Inc._20220428_DEFM14A_20042183_4449873.Pdf",Change in the Mandiant Board’s Recommendation,UNDEFINED,12
