Document,Section Header,Section Text,Page Number
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,SUMMARY,UNDEFINED,1
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,Parties Involved in the Merger,UNDEFINED,1
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,The Merger,UNDEFINED,2
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,Merger Consideration,UNDEFINED,2
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,UNDEFINED,3
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,Appraisal Rights,UNDEFINED,3
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,Litigation Related to the Merger,UNDEFINED,4
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,Regulatory Approvals Required for the Merger,UNDEFINED,5
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,Closing Conditions,UNDEFINED,6
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,Financing of the Merger,UNDEFINED,6
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,Required Stockholder Approval,UNDEFINED,8
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,The Special Meeting,UNDEFINED,8
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,Recommendation of the Maxar Board of Directors,UNDEFINED,9
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,Opinion of J.P. Morgan Securities LLC,UNDEFINED,9
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,Interests of Maxar’s Executive Officers and Directors in the Merger,UNDEFINED,9
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,Go-Shop and No Shop Periods,UNDEFINED,9
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,Termination of the Merger Agreement,UNDEFINED,11
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,Effect on Maxar If the Merger Is Not Completed,UNDEFINED,11
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,QUESTIONS AND ANSWERS,UNDEFINED,12
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,FORWARD-LOOKING STATEMENTS,UNDEFINED,20
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,THE SPECIAL MEETING,UNDEFINED,22
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,"Date, Time and Place",UNDEFINED,22
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,Purpose of the Special Meeting,UNDEFINED,22
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,Record Date; Shares Entitled to Vote; Quorum,UNDEFINED,22
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,Vote Required; Abstentions and Broker Non-Votes,UNDEFINED,22
Maxar Technologies Inc._20230316_DEFM14A_20730460_4617137.Pdf,Stock Ownership and Interests of Certain Persons,UNDEFINED,23
