Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",SUMMARY,1,10,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Introduction,1,10,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Parties Involved in the Merger,1,10,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Effect of the Merger,2,11,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Per Share Price,2,11,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",The Special Meeting,3,12,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Recommendation of the Medallia Board and Reasons for the Merger,4,13,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Opinion of Morgan Stanley & Co. LLC,4,13,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Treatment of Equity Awards in the Merger,5,14,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Employee Benefits,6,15,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Interests of Medallia’s Directors and Executive Officers in the Merger,7,16,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Appraisal Rights,7,16,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Material U.S. Federal Income Tax Consequences of the Merger,8,17,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Regulatory Approvals Required for the Merger,9,18,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Financing of the Merger,9,18,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",The Voting Agreements,9,18,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Solicitation of Other Acquisition Offers,9,18,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Change in the Medallia Board’s Recommendation,10,19,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Conditions to the Closing of the Merger,11,20,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Termination of the Merger Agreement,12,21,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Termination Fees and Remedies,13,22,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Limited Guaranty,13,22,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Delisting and Deregistration of Our Common Stock,14,23,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Effect on Medallia if the Merger is Not Completed,14,23,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Litigation Relating to the Merger,14,23,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",QUESTIONS AND ANSWERS,15,24,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",FORWARD-LOOKING STATEMENTS,24,33,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",THE SPECIAL MEETING,25,12,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf","Date, Time and Place",25,34,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Purpose of the Special Meeting,25,34,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Attending the Special Meeting,25,34,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Record Date; Shares Entitled to Vote; Quorum,25,34,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Vote Required; Abstentions and Broker Non-Votes,25,34,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Shares Held by Medallia’s Directors and Executive Officers,26,35,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Voting of Proxies,26,35,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Revocability of Proxies,27,36,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",The Medallia Board’s Recommendation,27,19,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Adjournment,28,37,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Solicitation of Proxies,28,37,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Anticipated Date of Completion of the Merger,28,37,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Appraisal Rights,28,37,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Other Matters,29,38,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Important Notice Regarding the Availability of Proxy Materials,29,38,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Householding of Special Meeting Materials,29,38,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Questions and Additional Information,29,38,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",THE MERGER,30,10,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Parties Involved in the Merger,30,39,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Effect of the Merger,30,39,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Effect on Medallia if the Merger is Not Completed,31,40,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",Per Share Price,31,40,UNDEFINED,UNDEFINED
"Medallia, Inc._20210914_DEFM14A_19531748_4294624.Pdf",i,,40,UNDEFINED,UNDEFINED
