Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
"Meridian Bancorp, Inc._20210622_DEFM14A_19361639_4244116.Pdf",QUESTIONS AND ANSWERS,1,11,UNDEFINED,UNDEFINED
"Meridian Bancorp, Inc._20210622_DEFM14A_19361639_4244116.Pdf",SUMMARY,14,24,UNDEFINED,UNDEFINED
"Meridian Bancorp, Inc._20210622_DEFM14A_19361639_4244116.Pdf",Information About the Companies,14,24,UNDEFINED,UNDEFINED
"Meridian Bancorp, Inc._20210622_DEFM14A_19361639_4244116.Pdf",The Merger and the Merger Agreement,15,25,UNDEFINED,UNDEFINED
"Meridian Bancorp, Inc._20210622_DEFM14A_19361639_4244116.Pdf",Merger Consideration,15,25,UNDEFINED,UNDEFINED
"Meridian Bancorp, Inc._20210622_DEFM14A_19361639_4244116.Pdf",Treatment of Meridian Equity Awards,15,25,UNDEFINED,UNDEFINED
"Meridian Bancorp, Inc._20210622_DEFM14A_19361639_4244116.Pdf",Meridian’s Reasons for the Merger,16,26,UNDEFINED,UNDEFINED
"Meridian Bancorp, Inc._20210622_DEFM14A_19361639_4244116.Pdf",Opinion of Meridian’s Financial Advisor,16,26,UNDEFINED,UNDEFINED
"Meridian Bancorp, Inc._20210622_DEFM14A_19361639_4244116.Pdf",Interests of Meridian’s Directors and Executive Officers in the Merger,17,27,UNDEFINED,UNDEFINED
"Meridian Bancorp, Inc._20210622_DEFM14A_19361639_4244116.Pdf",Special Meeting of Meridian’s Stockholders; Vote Required,18,28,UNDEFINED,UNDEFINED
"Meridian Bancorp, Inc._20210622_DEFM14A_19361639_4244116.Pdf",Recommendation of Meridian’s Board of Directors,18,28,UNDEFINED,UNDEFINED
"Meridian Bancorp, Inc._20210622_DEFM14A_19361639_4244116.Pdf",Meridian’s Directors and Executive Officers Have Agreed to Vote in Favor of the Merger Agreement,19,29,UNDEFINED,UNDEFINED
"Meridian Bancorp, Inc._20210622_DEFM14A_19361639_4244116.Pdf",Non-Solicitation,19,29,UNDEFINED,UNDEFINED
"Meridian Bancorp, Inc._20210622_DEFM14A_19361639_4244116.Pdf",Independent’s Reasons for the Merger and Issuance of Shares of Independent Common Stock,19,29,UNDEFINED,UNDEFINED
"Meridian Bancorp, Inc._20210622_DEFM14A_19361639_4244116.Pdf",Opinion of Independent’s Financial Advisor,19,29,UNDEFINED,UNDEFINED
