Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
Myovant Sciences Ltd._20230123_DEFM14A_20573637_4573939.Pdf,Summary Term Sheet,1,10,UNDEFINED,UNDEFINED
Myovant Sciences Ltd._20230123_DEFM14A_20573637_4573939.Pdf,The Special General Meeting,1,10,UNDEFINED,UNDEFINED
Myovant Sciences Ltd._20230123_DEFM14A_20573637_4573939.Pdf,Record Date and Quorum,1,10,UNDEFINED,UNDEFINED
Myovant Sciences Ltd._20230123_DEFM14A_20573637_4573939.Pdf,Required Votes,2,11,UNDEFINED,UNDEFINED
Myovant Sciences Ltd._20230123_DEFM14A_20573637_4573939.Pdf,The Parties to the Merger,2,11,UNDEFINED,UNDEFINED
Myovant Sciences Ltd._20230123_DEFM14A_20573637_4573939.Pdf,The Merger Proposal,3,12,UNDEFINED,UNDEFINED
Myovant Sciences Ltd._20230123_DEFM14A_20573637_4573939.Pdf,When the Merger Becomes Effective,4,13,UNDEFINED,UNDEFINED
Myovant Sciences Ltd._20230123_DEFM14A_20573637_4573939.Pdf,Reasons for the Merger; Recommendation of the Special Committee and the Myovant Board; Fairness of the Merger,4,13,UNDEFINED,UNDEFINED
Myovant Sciences Ltd._20230123_DEFM14A_20573637_4573939.Pdf,Opinion of Financial Advisor to the Special Committee,4,13,UNDEFINED,UNDEFINED
Myovant Sciences Ltd._20230123_DEFM14A_20573637_4573939.Pdf,Purposes and Reasons of the Purchaser Filing Persons for the Merger,5,14,UNDEFINED,UNDEFINED
Myovant Sciences Ltd._20230123_DEFM14A_20573637_4573939.Pdf,Position of the Purchaser Filing Persons as to Fairness of the Merger,5,14,UNDEFINED,UNDEFINED
Myovant Sciences Ltd._20230123_DEFM14A_20573637_4573939.Pdf,Treatment of Myovant Equity Awards,6,15,UNDEFINED,UNDEFINED
Myovant Sciences Ltd._20230123_DEFM14A_20573637_4573939.Pdf,Treatment of Myovant Warrants,6,15,UNDEFINED,UNDEFINED
Myovant Sciences Ltd._20230123_DEFM14A_20573637_4573939.Pdf,Interests of Myovant’s Directors and Executive Officers in the Merger,7,16,UNDEFINED,UNDEFINED
