Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
NATIONAL INSTRUMENTS CORP_20230525_DEFM14A_20911673_4672792.Pdf,SUMMARY,1,9,UNDEFINED,UNDEFINED
NATIONAL INSTRUMENTS CORP_20230525_DEFM14A_20911673_4672792.Pdf,Parties Involved in the Merger,1,9,UNDEFINED,UNDEFINED
NATIONAL INSTRUMENTS CORP_20230525_DEFM14A_20911673_4672792.Pdf,The Merger,1,9,UNDEFINED,UNDEFINED
NATIONAL INSTRUMENTS CORP_20230525_DEFM14A_20911673_4672792.Pdf,Merger Consideration,2,10,UNDEFINED,UNDEFINED
NATIONAL INSTRUMENTS CORP_20230525_DEFM14A_20911673_4672792.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,3,11,UNDEFINED,UNDEFINED
NATIONAL INSTRUMENTS CORP_20230525_DEFM14A_20911673_4672792.Pdf,Appraisal Rights,3,11,UNDEFINED,UNDEFINED
NATIONAL INSTRUMENTS CORP_20230525_DEFM14A_20911673_4672792.Pdf,Litigation Related to the Merger,4,12,UNDEFINED,UNDEFINED
NATIONAL INSTRUMENTS CORP_20230525_DEFM14A_20911673_4672792.Pdf,Regulatory Approvals Required for the Merger,5,13,UNDEFINED,UNDEFINED
NATIONAL INSTRUMENTS CORP_20230525_DEFM14A_20911673_4672792.Pdf,Closing Conditions,5,13,UNDEFINED,UNDEFINED
NATIONAL INSTRUMENTS CORP_20230525_DEFM14A_20911673_4672792.Pdf,Financing of the Merger,5,13,UNDEFINED,UNDEFINED
NATIONAL INSTRUMENTS CORP_20230525_DEFM14A_20911673_4672792.Pdf,Required Stockholder Approval,6,14,UNDEFINED,UNDEFINED
NATIONAL INSTRUMENTS CORP_20230525_DEFM14A_20911673_4672792.Pdf,The Special Meeting,6,14,UNDEFINED,UNDEFINED
NATIONAL INSTRUMENTS CORP_20230525_DEFM14A_20911673_4672792.Pdf,Recommendation of the NI Board of Directors,6,14,UNDEFINED,UNDEFINED
NATIONAL INSTRUMENTS CORP_20230525_DEFM14A_20911673_4672792.Pdf,"Opinion of BofA Securities, Inc.",7,15,UNDEFINED,UNDEFINED
NATIONAL INSTRUMENTS CORP_20230525_DEFM14A_20911673_4672792.Pdf,Interests of NI’s Executive Officers and Directors in the Merger,7,15,UNDEFINED,UNDEFINED
NATIONAL INSTRUMENTS CORP_20230525_DEFM14A_20911673_4672792.Pdf,Non-Solicitation Covenant,7,15,UNDEFINED,UNDEFINED
NATIONAL INSTRUMENTS CORP_20230525_DEFM14A_20911673_4672792.Pdf,Termination of the Merger Agreement,8,16,UNDEFINED,UNDEFINED
NATIONAL INSTRUMENTS CORP_20230525_DEFM14A_20911673_4672792.Pdf,Effect on NI If the Merger Is Not Completed,8,16,UNDEFINED,UNDEFINED
