Document,Section Header,Section Text,Page Number
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,SUMMARY,UNDEFINED,1
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,COMPARATIVE PER SHARE MARKET PRICE AND DIVIDEND INFORMATION,UNDEFINED,18
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,CAUTIONARY STATEMENT REGARDING FORWARD-LOOKING STATEMENTS,UNDEFINED,20
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,RISK FACTORS,UNDEFINED,22
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Risks Relating to the Merger,UNDEFINED,22
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Risks Relating to the Combined Company,UNDEFINED,31
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Other Risk Factors Related to Globus and NuVasive,UNDEFINED,35
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,THE PARTIES TO THE MERGER,UNDEFINED,36
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,"Globus Medical, Inc.",UNDEFINED,36
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,"NuVasive, Inc.",UNDEFINED,36
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,"Zebra Merger Sub, Inc.",UNDEFINED,36
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,THE GLOBUS SPECIAL MEETING,UNDEFINED,37
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,"Date, Time and Place of the Globus Special Meeting",UNDEFINED,37
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Matters to Be Considered at the Globus Special Meeting,UNDEFINED,37
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Recommendation of the Globus Board of Directors,UNDEFINED,37
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Record Date for the Globus Special Meeting and Voting Rights,UNDEFINED,38
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Quorum; Abstentions and Broker Non-Votes,UNDEFINED,38
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Required Votes,UNDEFINED,39
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Vote of Globus Directors and Executive Officers,UNDEFINED,40
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Methods of Voting,UNDEFINED,40
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Attending the Globus Special Meeting,UNDEFINED,41
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Revocability of Proxies,UNDEFINED,41
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Proxy Solicitation Costs,UNDEFINED,42
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Householding,UNDEFINED,42
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Adjournments,UNDEFINED,42
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Assistance,UNDEFINED,43
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,GLOBUS PROPOSAL 1: APPROVAL OF THE SHARE ISSUANCE,UNDEFINED,44
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,GLOBUS PROPOSAL 2: ADJOURNMENT OF THE GLOBUS SPECIAL MEETING,UNDEFINED,45
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,THE NUVASIVE SPECIAL MEETING,UNDEFINED,46
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,"Date, Time and Place of the NuVasive Special Meeting",UNDEFINED,46
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Matters to Be Considered at the NuVasive Special Meeting,UNDEFINED,46
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Recommendation of the NuVasive Board of Directors,UNDEFINED,47
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Record Date for the NuVasive Special Meeting and Voting Rights,UNDEFINED,47
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Quorum; Abstentions and Broker Non-Votes,UNDEFINED,47
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Required Votes,UNDEFINED,48
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Vote of NuVasive Directors and Executive Officers,UNDEFINED,49
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Methods of Voting,UNDEFINED,50
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Revocability of Proxies,UNDEFINED,50
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Proxy Solicitation Costs,UNDEFINED,51
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Householding,UNDEFINED,51
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Adjournments,UNDEFINED,52
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Assistance,UNDEFINED,52
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,NUVASIVE PROPOSAL 1: ADOPTION OF THE MERGER AGREEMENT,UNDEFINED,53
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,NUVASIVE PROPOSAL 2: ADVISORY NON-BINDING VOTE ON MERGER-RELATED COMPENSATION FOR NAMED EXECUTIVE OFFICERS,UNDEFINED,54
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,NUVASIVE PROPOSAL 3: ADJOURNMENT OF THE NUVASIVE SPECIAL MEETING,UNDEFINED,55
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,THE MERGER,UNDEFINED,56
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,General,UNDEFINED,56
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,The Parties to the Merger,UNDEFINED,56
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Merger Consideration,UNDEFINED,57
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Background of the Merger,UNDEFINED,57
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Globus’s Reasons for the Merger and Recommendation of the Globus Board of Directors,UNDEFINED,69
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,NuVasive’s Reasons for the Merger and Recommendation of the NuVasive Board of Directors,UNDEFINED,73
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Opinion of Globus’s Financial Advisor,UNDEFINED,78
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Opinion of NuVasive’s Financial Advisor,UNDEFINED,86
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Certain Globus Unaudited Prospective Financial Information,UNDEFINED,97
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Certain NuVasive Unaudited Prospective Financial Information,UNDEFINED,102
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Closing and Effective Time of the Merger,UNDEFINED,107
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Governance Matters After the Merger,UNDEFINED,107
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Ownership of the Combined Company,UNDEFINED,107
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Voting Power in the Combined Company,UNDEFINED,107
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Regulatory Approvals and Related Matters,UNDEFINED,108
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,U.S. Federal Securities Law Consequences,UNDEFINED,109
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Accounting Treatment,UNDEFINED,109
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,THE MERGER AGREEMENT,UNDEFINED,111
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Explanatory Note Regarding the Merger Agreement and the Summary of the Merger Agreement,UNDEFINED,111
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Structure of the Merger,UNDEFINED,111
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Consummation and Effectiveness of the Merger,UNDEFINED,112
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Post-Closing Governance,UNDEFINED,112
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Merger Consideration,UNDEFINED,112
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Appraisal Rights,UNDEFINED,112
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Procedures for Surrendering NuVasive Stock Certificates,UNDEFINED,112
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,No Fractional Shares,UNDEFINED,113
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Treatment of NuVasive Equity Awards,UNDEFINED,114
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Conditions to the Consummation of the Merger,UNDEFINED,115
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Representations and Warranties,UNDEFINED,116
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Definition of “Material Adverse Effect”,UNDEFINED,118
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Conduct of Business Pending the Merger,UNDEFINED,120
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Obligations to Call Special Meetings,UNDEFINED,125
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Obligations to Recommend the Approval of the Merger Agreement and the Approval of the Globus Share Issuance Proposal,UNDEFINED,126
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,No Solicitation,UNDEFINED,129
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Regulatory Approvals,UNDEFINED,131
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Indemnification of Officers and Directors,UNDEFINED,133
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Employee Matters,UNDEFINED,134
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,NuVasive Employee Stock Purchase Plan,UNDEFINED,135
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Other Agreements,UNDEFINED,135
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Termination of the Merger Agreement,UNDEFINED,136
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Termination Fees,UNDEFINED,139
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Exclusive Remedy,UNDEFINED,140
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Other Expenses,UNDEFINED,141
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Specific Performance,UNDEFINED,141
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Governing Law,UNDEFINED,141
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,Amendments; Waivers,UNDEFINED,141
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,VOTING AGREEMENT,UNDEFINED,142
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,UNAUDITED PRO FORMA CONDENSED COMBINED FINANCIAL INFORMATION,UNDEFINED,144
NUVASIVE INC_20230328_DEFM14A_20755850_4630097.Pdf,INTERESTS OF GLOBUS DIRECTORS AND EXECUTIVE OFFICERS IN THE MERGER,UNDEFINED,153
