Document,Section Header,Section Text,Page Number
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",PROXY SUMMARY,UNDEFINED,1
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",Parties Involved in the Merger,UNDEFINED,1
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",Certain Effects of the Merger on Nuance,UNDEFINED,2
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",Effect on Nuance if the Merger is Not Completed,UNDEFINED,2
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",Merger Consideration,UNDEFINED,2
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",The Special Meeting,UNDEFINED,3
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",Recommendation of Our Board of Directors and Reasons for the Merger,UNDEFINED,4
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",Opinion of Nuance’s Financial Advisor,UNDEFINED,5
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",Financing of the Merger,UNDEFINED,5
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",Treatment of Equity Compensation,UNDEFINED,5
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",Interests of the Non-Employee Directors and Executive Officers of Nuance in the Merger,UNDEFINED,7
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",Appraisal Rights,UNDEFINED,7
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",U.S. Federal Income Tax Consequences of the Merger,UNDEFINED,7
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",Regulatory Approvals,UNDEFINED,7
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",No Solicitation of Other Offers,UNDEFINED,8
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",Change in the Recommendation of the Nuance Board of Directors,UNDEFINED,8
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",Conditions to the Closing of the Merger,UNDEFINED,9
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",Termination of the Merger Agreement,UNDEFINED,9
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",Termination Fee,UNDEFINED,10
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",QUESTIONS AND ANSWERS,UNDEFINED,11
"Nuance Communications, Inc._20210517_DEFM14A_19281720_4221662.Pdf",FORWARD-LOOKING STATEMENTS,UNDEFINED,20
