Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",SUMMARY,i,9,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",The Parties,i,9,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",The Merger,ii,10,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",The Special Meeting,iii,11,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Recommendation of the Oak Street Health Board and Reasons for the Merger,iii,11,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Opinion of Centerview Partners LLC,iv,12,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Certain Effects of the Merger,iv,12,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Effects on Oak Street Health if the Merger Is Not Completed,v,13,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Treatment of Equity-Based Awards and the Oak Street Health ESPP,v,13,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Interests of Oak Street Health’s Directors and Executive Officers in the Merger,vii,15,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Oak Street Health Common Stock Ownership of Directors and Executive Officers,vii,15,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Voting and Support Agreements,vii,15,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Conditions of the Merger,viii,16,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Regulatory Approvals Required for the Merger,viii,16,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",No-Shop; Oak Street Health Board Recommendation Change,ix,17,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Termination,x,18,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Termination Fees,xi,19,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Appraisal Rights,xi,19,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Accounting Treatment,xii,20,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Material U.S. Federal Income Tax Considerations,xii,20,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Additional Information,xii,20,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",QUESTIONS AND ANSWERS ABOUT THE SPECIAL MEETING AND THE MERGER,1,22,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",CAUTIONARY NOTE REGARDING FORWARD-LOOKING STATEMENTS,11,32,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",THE PARTIES,13,9,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",THE SPECIAL MEETING,15,11,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf","Date, Time and Place",15,36,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Purpose of the Special Meeting,15,36,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Recommendation of the Oak Street Health Board,15,11,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Record Date and Stockholders Entitled to Vote,16,37,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Quorum,16,37,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Vote Required,16,37,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Voting Procedures,17,38,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Revocation of Proxies,18,39,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Voting in Person,19,40,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Solicitation of Proxies,20,41,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Adjournments,20,41,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Voting by Oak Street Health’s Directors and Executive Officers,20,41,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Voting and Support Agreements,21,42,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Assistance; Proxy Solicitor,21,42,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",PROPOSAL 1: ADOPTION OF THE MERGER AGREEMENT,22,43,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",PROPOSAL 2: APPROVAL OF THE COMPENSATION ADVISORY PROPOSAL,23,44,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",PROPOSAL 3: ADJOURNMENT PROPOSAL,24,45,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",THE MERGER,25,46,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",General Description of the Merger,25,46,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Background of the Merger,25,46,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Recommendation of the Oak Street Health Board and Reasons for the Merger,38,59,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Opinion of Centerview Partners LLC,43,64,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Certain Financial Projections,52,73,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Certain Effects of the Merger,54,75,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Effects on Oak Street Health if the Merger Is Not Completed,56,77,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Interests of Oak Street Health’s Directors and Executive Officers in the Merger,57,78,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Accounting Treatment,66,87,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Material U.S. Federal Income Tax Considerations,67,88,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",U.S. Holders,68,89,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Non-U.S. Holders,68,89,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Regulatory Approvals Required for the Merger,69,90,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Litigation Related to the Merger,70,91,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Delisting and Deregistration of Oak Street Health Common Stock,70,91,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",THE MERGER AGREEMENT,71,92,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",The Merger,71,46,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Closing and Effective Time of the Merger,71,92,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Certificate of Incorporation and By-laws; Directors and Officers,72,93,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Consideration to be Received in the Merger,72,93,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Treatment of Equity-Based Awards and the Oak Street Health ESPP,72,93,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Representations and Warranties,75,96,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Covenants Regarding Conduct of Business by Oak Street Health Until the Effective Time,79,100,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",No-Shop; Oak Street Health Board Recommendation Change,82,103,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Reasonable Best Efforts; Antitrust Filings,86,107,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Proxy Statement; Oak Street Health Stockholders Meeting,88,109,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Indemnification of Directors and Officers and Insurance,89,110,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Employee Benefits Matters,91,112,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Other Agreements,93,114,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Conditions of the Merger,93,114,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Termination,94,115,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Effect of Termination,95,116,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Termination Fees,96,117,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Specific Performance,96,117,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Amendments and Waivers,96,117,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Governing Law,97,118,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",VOTING AND SUPPORT AGREEMENTS,98,119,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Voting Provisions,98,119,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Restrictions on Transfer; Other Restrictions,98,119,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",Waiver of Appraisal Rights and Certain Other Actions; Termination,99,120,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",SECURITY OWNERSHIP OF CERTAIN BENEFICIAL OWNERS AND MANAGEMENT,100,121,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",APPRAISAL RIGHTS,103,120,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",HOUSEHOLDING,109,130,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",FUTURE STOCKHOLDER PROPOSALS,110,131,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",WHERE YOU CAN FIND ADDITIONAL INFORMATION,111,132,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",ANNEX A - MERGER AGREEMENT,A-1,134,UNDEFINED,UNDEFINED
"Oak Street Health, Inc._20230330_DEFM14A_20760527_4632592.Pdf",ANNEX B - OPINION OF CENTERVIEW PARTNERS LLC,B-1,237,UNDEFINED,UNDEFINED
