Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,TRANSACTION SUMMARY,1,8,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Introduction,1,8,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Parties Involved in the Merger,1,8,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Effect of the Merger,2,9,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Per Share Price,2,9,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,The Special Meeting,3,10,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Recommendation of the Poly Board and Reasons for the Merger,4,11,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Opinion of Morgan Stanley & Co. LLC,4,11,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Treatment of Equity Awards in the Merger,5,12,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Employee Benefits,7,14,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Interests of Poly’s Directors and Executive Officers in the Merger,8,15,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Appraisal Rights,9,16,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,10,17,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Regulatory Approvals Required for the Merger,10,17,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Financing of the Merger,11,18,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Solicitation of Other Acquisition Offers,11,18,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Change in the Poly Board’s Recommendation,12,19,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Conditions to the Closing of the Merger,13,20,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Termination of the Merger Agreement,13,20,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Termination Fee and Remedies,14,21,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Delisting and Deregistration of Our Common Stock,15,22,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Effect on Poly if the Merger is Not Completed,15,22,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,QUESTIONS AND ANSWERS,16,23,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,FORWARD-LOOKING STATEMENTS,26,33,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,THE SPECIAL MEETING,28,10,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,"Date, Time and Place",28,35,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Purpose of the Special Meeting,28,35,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Attending the Special Meeting,28,35,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Record Date; Shares Entitled to Vote; Quorum,28,35,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Vote Required; Abstentions and Broker Non-Votes,29,36,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Shares Held by Poly’s Directors and Executive Officers,29,36,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Voting of Proxies,29,36,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Revocability of Proxies,30,37,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,The Poly Board’s Recommendation,31,19,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Adjournment,31,38,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Solicitation of Proxies,31,38,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Anticipated Date of Completion of the Merger,31,38,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Appraisal Rights,31,38,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Other Matters,32,39,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Householding of Special Meeting Materials,32,39,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Questions and Additional Information,33,40,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,THE MERGER,34,8,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Parties Involved in the Merger,34,41,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Effect of the Merger,34,41,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Effect on Poly if the Merger is Not Completed,35,42,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Per Share Price,35,42,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Background of the Merger,36,43,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Recommendation of the Poly Board and Reasons for the Merger,46,53,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Opinion of Morgan Stanley & Co. LLC,50,57,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Prospective Unaudited Financial Information,59,66,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Interests of Poly’s Directors and Executive Officers in the Merger,62,69,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Closing and Effective Time of the Merger,71,78,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Appraisal Rights,71,78,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Accounting Treatment,76,83,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,76,83,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Regulatory Approvals Required for the Merger,79,86,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Financing of the Merger,82,89,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,Delisting and Deregistration of Our Common Stock,82,89,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,PROPOSAL 1: ADOPTION OF THE MERGER AGREEMENT,84,91,UNDEFINED,UNDEFINED
PLANTRONICS INC CA_20220517_DEFM14A_20103137_4464750.Pdf,"PROPOSAL 2: APPROVAL, ON A NON-BINDING, ADVISORY BASIS, OF CERTAIN MERGER-RELATED EXECUTIVE COMPENSATION",85,92,UNDEFINED,UNDEFINED
