Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf",SUMMARY,1,7,UNDEFINED,UNDEFINED
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf",The Parties to the Mergers,1,7,UNDEFINED,UNDEFINED
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf",The Special Meeting,3,9,UNDEFINED,UNDEFINED
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf",The Mergers,5,7,UNDEFINED,UNDEFINED
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf",Recommendation of Our Board of Directors,5,11,UNDEFINED,UNDEFINED
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf",Opinion of the Company’s Financial Advisor,6,12,UNDEFINED,UNDEFINED
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf","Treatment of Common Stock, Preferred Stock, Company Options and Equity Awards",6,12,UNDEFINED,UNDEFINED
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf",Financing,7,13,UNDEFINED,UNDEFINED
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf",Interests of Our Directors and Executive Officers in the Company Merger,8,14,UNDEFINED,UNDEFINED
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf",Company Acquisition Proposals; Non-Solicitation and Obligation of the Board of Directors with Respect to Its Recommendation,8,14,UNDEFINED,UNDEFINED
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf",Conditions to the Mergers,9,15,UNDEFINED,UNDEFINED
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf",Termination of the Merger Agreement,10,16,UNDEFINED,UNDEFINED
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf",Termination Fees,12,18,UNDEFINED,UNDEFINED
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf",Guaranty and Remedies,13,19,UNDEFINED,UNDEFINED
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf",Support Agreement,13,19,UNDEFINED,UNDEFINED
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf",Regulatory Matters,14,20,UNDEFINED,UNDEFINED
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf",No Dissenters’ Rights of Appraisal,14,20,UNDEFINED,UNDEFINED
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf",Material U.S. Federal Income Tax Consequences,14,20,UNDEFINED,UNDEFINED
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf",Delisting and Deregistration of Common Stock,15,21,UNDEFINED,UNDEFINED
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf",Litigation Relating to the Mergers,15,21,UNDEFINED,UNDEFINED
"PS BUSINESS PARKS, INC.MD_20220608_DEFM14A_20155205_4474225.Pdf",QUESTIONS AND ANSWERS ABOUT THE SPECIAL MEETING AND THE MERGERS,16,22,UNDEFINED,UNDEFINED
