Document,Section Header,Section Text,Page Number
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,SUMMARY,UNDEFINED,1
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,The Parties,UNDEFINED,20
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,The Merger,UNDEFINED,31
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,The Special Meeting,UNDEFINED,22
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Reasons for the Merger; Recommendation of the Ping Identity Board,UNDEFINED,42
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Opinion of Goldman Sachs,UNDEFINED,45
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Certain Effects of the Merger,UNDEFINED,56
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Effects on the Company if the Merger Is Not Completed,UNDEFINED,57
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Treatment of Equity Awards,UNDEFINED,72
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Interests of the Company’s Directors and Executive Officers in the Merger,UNDEFINED,59
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Ping Identity Common Stock Ownership of Directors and Executive Officers,UNDEFINED,97
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Voting Agreement,UNDEFINED,96
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Financing of the Merger,UNDEFINED,58
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Conditions of the Merger,UNDEFINED,91
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Regulatory Approvals Required for the Merger,UNDEFINED,69
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,No-Shop; Ping Identity Board Recommendation Change,UNDEFINED,80
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Termination,UNDEFINED,92
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Termination Fees,UNDEFINED,94
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Appraisal Rights,UNDEFINED,99
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Accounting Treatment,UNDEFINED,66
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Material U.S. Federal Income Tax Considerations,UNDEFINED,66
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Additional Information,UNDEFINED,106
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,QUESTIONS AND ANSWERS ABOUT THE SPECIAL MEETING AND THE MERGER,UNDEFINED,10
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,CAUTIONARY NOTE REGARDING FORWARD-LOOKING STATEMENTS,UNDEFINED,18
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,THE PARTIES,UNDEFINED,20
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,THE SPECIAL MEETING,UNDEFINED,22
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,"Date, Time and Place",UNDEFINED,22
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Purpose of the Special Meeting,UNDEFINED,22
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Recommendation of the Ping Identity Board,UNDEFINED,22
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Record Date and Stockholders Entitled to Vote,UNDEFINED,22
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Quorum,UNDEFINED,23
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Vote Required,UNDEFINED,23
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Voting Procedures,UNDEFINED,24
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Revocation of Proxies,UNDEFINED,25
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Voting in Person,UNDEFINED,25
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Solicitation of Proxies,UNDEFINED,26
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Adjournments,UNDEFINED,26
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Voting by Company Directors and Executive Officers,UNDEFINED,27
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Voting Agreement,UNDEFINED,27
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Assistance; Proxy Solicitor,UNDEFINED,27
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,PROPOSAL 1: ADOPTION OF THE MERGER AGREEMENT,UNDEFINED,28
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,PROPOSAL 2: APPROVAL OF THE COMPENSATION ADVISORY PROPOSAL,UNDEFINED,29
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,PROPOSAL 3: ADJOURNMENT PROPOSAL,UNDEFINED,30
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,THE MERGER,UNDEFINED,31
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,General Description of the Merger,UNDEFINED,31
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Background of the Merger,UNDEFINED,31
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Reasons for the Merger; Recommendation of the Ping Identity Board,UNDEFINED,42
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Opinion of Goldman Sachs,UNDEFINED,45
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Certain Financial Projections,UNDEFINED,53
Ping Identity Holding Corp._20220916_DEFM14A_20342713_4518798.Pdf,Certain Effects of the Merger,UNDEFINED,56
