Document,Section Header,Section Text,Page Number
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",SUMMARY,UNDEFINED,1
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",The Parties,UNDEFINED,1
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",The Merger,UNDEFINED,2
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",The Special Meeting,UNDEFINED,2
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf","Reasons for the Merger, Recommendation of the Poshmark Board",UNDEFINED,3
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Opinion of Goldman Sachs,UNDEFINED,3
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Certain Effects of the Merger,UNDEFINED,4
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Effects on the Company if the Merger Is Not Completed,UNDEFINED,4
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Treatment of Equity Awards,UNDEFINED,4
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Interests of the Company’s Directors and Executive Officers in the Merger,UNDEFINED,5
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Poshmark Common Stock Ownership of Directors and Executive Officers,UNDEFINED,6
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Voting Agreement,UNDEFINED,6
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Conditions of the Merger,UNDEFINED,6
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Regulatory Approvals Required for the Merger,UNDEFINED,7
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",No-Shop; Poshmark Board Recommendation Change,UNDEFINED,7
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Termination,UNDEFINED,8
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Termination Fees,UNDEFINED,9
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Appraisal Rights,UNDEFINED,9
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Material U.S. Federal Income Tax Considerations,UNDEFINED,9
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Additional Information,UNDEFINED,10
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",QUESTIONS AND ANSWERS ABOUT THE SPECIAL MEETING AND THE MERGER,UNDEFINED,11
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",CAUTIONARY NOTE REGARDING FORWARD-LOOKING STATEMENTS,UNDEFINED,19
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",THE PARTIES,UNDEFINED,21
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",THE SPECIAL MEETING,UNDEFINED,23
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf","Date, Time and Place",UNDEFINED,23
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Purpose of the Special Meeting,UNDEFINED,23
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Recommendation of the Poshmark Board,UNDEFINED,23
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Record Date and Stockholders Entitled to Vote,UNDEFINED,23
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Quorum,UNDEFINED,24
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Vote Required,UNDEFINED,24
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Voting Procedures,UNDEFINED,25
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Revocation of Proxies,UNDEFINED,26
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Voting at the Special Meeting,UNDEFINED,26
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Solicitation of Proxies,UNDEFINED,27
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Adjournments,UNDEFINED,27
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Voting by Company Directors and Executive Officers,UNDEFINED,28
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Voting Agreement,UNDEFINED,28
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Assistance; Proxy Solicitor,UNDEFINED,29
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",PROPOSAL 1: ADOPTION OF THE MERGER AGREEMENT,UNDEFINED,30
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",PROPOSAL 2: ADJOURNMENT PROPOSAL,UNDEFINED,31
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",THE MERGER,UNDEFINED,32
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",General Description of the Merger,UNDEFINED,32
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Background of the Merger,UNDEFINED,32
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Reasons for the Merger; Recommendation of the Poshmark Board,UNDEFINED,43
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Opinion of Goldman Sachs,UNDEFINED,46
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Certain Financial Projections,UNDEFINED,51
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Certain Effects of the Merger,UNDEFINED,54
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Effects on the Company if the Merger Is Not Completed,UNDEFINED,56
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Interests of the Company’s Directors and Executive Officers in the Merger,UNDEFINED,56
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Material U.S. Federal Income Tax Considerations,UNDEFINED,63
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",U.S. Holders,UNDEFINED,64
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Non-U.S. Holders,UNDEFINED,65
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Regulatory Approvals Required for the Merger,UNDEFINED,66
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Litigation Related to the Merger,UNDEFINED,67
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Delisting and Deregistration of Poshmark Common Stock,UNDEFINED,67
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",THE MERGER AGREEMENT,UNDEFINED,68
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",The Merger,UNDEFINED,68
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Closing and Effective Time of the Merger,UNDEFINED,68
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Certificate of Incorporation and By-Laws; Directors and Officers,UNDEFINED,69
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Consideration to be Received in the Merger,UNDEFINED,69
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Treatment of Equity-Based Awards and the 2021 ESPP in the Merger,UNDEFINED,69
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Procedure for Receiving Merger Consideration,UNDEFINED,70
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Representations and Warranties,UNDEFINED,71
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Covenants Regarding Conduct of Business by the Company Until the Effective Time,UNDEFINED,75
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",No-Shop; Poshmark Board Recommendation Change,UNDEFINED,78
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Reasonable Best Efforts; Antitrust Filings,UNDEFINED,81
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Proxy Statement; Poshmark Stockholders Meeting,UNDEFINED,83
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Financing Efforts,UNDEFINED,84
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Indemnification of Directors and Officers and Insurance,UNDEFINED,84
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Employee Benefits Matters,UNDEFINED,85
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Conditions of the Merger,UNDEFINED,87
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Termination,UNDEFINED,88
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Effect of Termination,UNDEFINED,89
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Termination Fees and Expenses,UNDEFINED,89
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Specific Performance,UNDEFINED,90
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Amendments and Waivers,UNDEFINED,90
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Governing Law,UNDEFINED,90
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",VOTING AGREEMENT,UNDEFINED,91
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Voting Provisions,UNDEFINED,91
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Restrictions on Transfer,UNDEFINED,91
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",Waiver of Appraisal Rights and Certain Other Actions; Termination,UNDEFINED,92
"Poshmark, Inc._20221125_DEFM14A_20473310_4552195.Pdf",SECURITY OWNERSHIP OF CERTAIN BENEFICIAL OWNERS AND MANAGEMENT,UNDEFINED,93
