Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
"Prometheus Biosciences, Inc._20230516_DEFM14A_20886960_4667711.Pdf",QUESTIONS AND ANSWERS,1,10,UNDEFINED,UNDEFINED
"Prometheus Biosciences, Inc._20230516_DEFM14A_20886960_4667711.Pdf",SUMMARY,13,22,UNDEFINED,UNDEFINED
"Prometheus Biosciences, Inc._20230516_DEFM14A_20886960_4667711.Pdf",THE COMPANIES,27,36,UNDEFINED,UNDEFINED
"Prometheus Biosciences, Inc._20230516_DEFM14A_20886960_4667711.Pdf",THE SPECIAL MEETING,28,37,UNDEFINED,UNDEFINED
"Prometheus Biosciences, Inc._20230516_DEFM14A_20886960_4667711.Pdf","Date, Time and Place of the Special Meeting",28,37,UNDEFINED,UNDEFINED
"Prometheus Biosciences, Inc._20230516_DEFM14A_20886960_4667711.Pdf",Purpose of the Special Meeting,28,37,UNDEFINED,UNDEFINED
"Prometheus Biosciences, Inc._20230516_DEFM14A_20886960_4667711.Pdf",Pre-Registering for the Special Meeting,28,37,UNDEFINED,UNDEFINED
"Prometheus Biosciences, Inc._20230516_DEFM14A_20886960_4667711.Pdf",Record Date; Shares Entitled to Vote; Quorum,29,38,UNDEFINED,UNDEFINED
"Prometheus Biosciences, Inc._20230516_DEFM14A_20886960_4667711.Pdf",Vote Required; Abstentions and Broker Non-Votes,29,38,UNDEFINED,UNDEFINED
"Prometheus Biosciences, Inc._20230516_DEFM14A_20886960_4667711.Pdf",Company Shares Held by Directors and Executive Officers,30,39,UNDEFINED,UNDEFINED
"Prometheus Biosciences, Inc._20230516_DEFM14A_20886960_4667711.Pdf",Voting; Proxies,30,39,UNDEFINED,UNDEFINED
"Prometheus Biosciences, Inc._20230516_DEFM14A_20886960_4667711.Pdf",Revocability of Proxies,31,40,UNDEFINED,UNDEFINED
"Prometheus Biosciences, Inc._20230516_DEFM14A_20886960_4667711.Pdf",Abstentions,32,38,UNDEFINED,UNDEFINED
"Prometheus Biosciences, Inc._20230516_DEFM14A_20886960_4667711.Pdf",Adjournments and Postponements,32,41,UNDEFINED,UNDEFINED
"Prometheus Biosciences, Inc._20230516_DEFM14A_20886960_4667711.Pdf",Board Recommendation,33,42,UNDEFINED,UNDEFINED
"Prometheus Biosciences, Inc._20230516_DEFM14A_20886960_4667711.Pdf",Solicitation of Proxies,33,42,UNDEFINED,UNDEFINED
"Prometheus Biosciences, Inc._20230516_DEFM14A_20886960_4667711.Pdf",Anticipated Date of Consummation of the Merger,33,42,UNDEFINED,UNDEFINED
"Prometheus Biosciences, Inc._20230516_DEFM14A_20886960_4667711.Pdf",Appraisal Rights,33,42,UNDEFINED,UNDEFINED
"Prometheus Biosciences, Inc._20230516_DEFM14A_20886960_4667711.Pdf",Householding of Special Meeting Materials,34,43,UNDEFINED,UNDEFINED
"Prometheus Biosciences, Inc._20230516_DEFM14A_20886960_4667711.Pdf",Questions and Additional Information,35,44,UNDEFINED,UNDEFINED
"Prometheus Biosciences, Inc._20230516_DEFM14A_20886960_4667711.Pdf",CAUTIONARY STATEMENT REGARDING FORWARD-LOOKING STATEMENTS,36,45,UNDEFINED,UNDEFINED
"Prometheus Biosciences, Inc._20230516_DEFM14A_20886960_4667711.Pdf",THE MERGER,38,42,UNDEFINED,UNDEFINED
"Prometheus Biosciences, Inc._20230516_DEFM14A_20886960_4667711.Pdf",Certain Effects of the Merger on Prometheus,38,47,UNDEFINED,UNDEFINED
