Document,Section Header,Section Text,Page Number
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,DEFINED TERMS,UNDEFINED,iv
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,SUMMARY TERM SHEET,UNDEFINED,1
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,QUESTIONS AND ANSWERS ABOUT THE PROPOSALS AND THE SPECIAL MEETING,UNDEFINED,11
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,SPECIAL FACTORS,UNDEFINED,21
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,Background of the Merger,UNDEFINED,21
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,Purpose and Reasons of the Company for the Merger; Recommendation of the QAD Board and the Special Committee; Fairness of the Merger,UNDEFINED,30
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,Opinion of Morgan Stanley & Co. LLC,UNDEFINED,40
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,Position of the Parent Entities as to the Fairness of the Merger,UNDEFINED,49
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,Purpose and Reasons of the Parent Entities for the Merger,UNDEFINED,52
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,Position of the Lopker Entities as to the Fairness of the Merger,UNDEFINED,52
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,Purpose and Reasons of the Lopker Entities for the Merger,UNDEFINED,53
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,Plans for the Company After the Merger,UNDEFINED,54
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,Certain Effects of the Merger,UNDEFINED,55
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,Certain Effects on the Company if the Merger is Not Completed,UNDEFINED,56
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,Certain Unaudited Prospective Financial Information,UNDEFINED,57
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,Interests of Executive Officers and Directors of the Company in the Merger,UNDEFINED,58
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,Intent of the Directors and Executive Officers to Vote in Favor of the Merger,UNDEFINED,66
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,Intent of the Lopker Entities to Vote in Favor of the Merger,UNDEFINED,66
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,UNDEFINED,66
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,Financing of the Merger,UNDEFINED,69
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,Limited Guaranty,UNDEFINED,70
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,Fees and Expenses,UNDEFINED,71
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,Provisions for Unaffiliated Stockholders,UNDEFINED,72
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,Accounting Treatment,UNDEFINED,72
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,Regulatory Approvals,UNDEFINED,72
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,Litigation Relating to the Merger,UNDEFINED,72
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,Appraisal Rights,UNDEFINED,73
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,Support Agreement,UNDEFINED,74
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,Contribution and Exchange Agreement,UNDEFINED,74
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,Effective Time of the Merger,UNDEFINED,75
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,Payment of Merger Consideration,UNDEFINED,75
QAD INC_20210909_DEFM14A_19523541_4291901.Pdf,THE MERGER AGREEMENT,UNDEFINED,77
