Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,SUMMARY,1,3,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,QUESTIONS AND ANSWERS,12,9,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,CAUTION REGARDING FORWARD-LOOKING STATEMENTS,20,13,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,THE COMPANIES,20,13,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,THE SPECIAL MEETING,21,13,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,"Date, Time and Place",21,13,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Purpose of the Special Meeting,21,14,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Recommendation of the Raven Board of Directors,21,14,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Record Date; Shareholders Entitled to Vote,22,14,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Quorum,22,14,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Required Vote,22,14,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Abstentions and Broker Non-Votes,22,14,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Failure to Vote,23,15,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Voting by Raven’s Directors and Executive Officers,23,15,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Voting at the Special Meeting,23,15,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Shares Held in Name of Broker,25,15,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Tabulation of Votes,25,16,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Solicitation of Proxies,25,16,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Adjournment,25,16,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Other Information,25,16,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,THE MERGER (PROPOSAL 1),26,16,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Effects of the Merger,26,16,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Effects on Raven If the Merger Is Not Completed,27,17,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Background of the Merger,27,17,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Raven’s Reasons for the Merger,32,19,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Recommendation of the Raven Board of Directors,35,21,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Opinion of Raven’s Financial Advisor,35,21,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Projected Financial Information,41,24,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Interests of Raven Directors and Executive Officers in the Merger,42,25,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Financing of the Merger,48,28,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Regulatory Clearances and Approvals Required for the Merger,48,28,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Accounting Treatment,48,28,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Material U.S. Federal Income Tax Consequences of the Merger,48,28,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Delisting and Deregistration of Raven Common Stock,49,28,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,No Appraisal Rights,49,28,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Litigation Related to the Merger,49,29,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,THE MERGER AGREEMENT,50,29,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Structure of the Merger,50,29,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Closing and Effective Time of the Merger,50,29,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Effect of the Merger on Raven Common Stock,51,29,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Procedures for Surrendering Shares for Payment,51,29,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Withholding,52,30,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Treatment of Raven Equity Awards,52,30,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Representations and Warranties,53,30,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Definition of “Material Adverse Effect”,55,31,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Conduct of the Business Pending the Merger,56,31,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Board Obligation to Call a Shareholders’ Meeting,59,33,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Restrictions on Solicitation of Acquisition Proposals,59,33,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Changes in Board Recommendation,61,34,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Regulatory Clearances and Approvals Required for the Merger,62,34,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Litigation Related to the Merger,64,36,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Employee Matters,65,36,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Directors’ and Officers’ Indemnification and Insurance,66,36,UNDEFINED,UNDEFINED
RAVEN INDUSTRIES INC_20210806_DEFM14A_19454710_4273900.Pdf,Financing of the Merger,67,37,UNDEFINED,UNDEFINED
