Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,SUMMARY,1,8,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,QUESTIONS AND ANSWERS ABOUT THE SPECIAL MEETING AND THE MERGER,11,18,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,CAUTIONARY STATEMENT CONCERNING FORWARD-LOOKING INFORMATION,18,25,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,THE SPECIAL MEETING,19,18,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,"Time, Place and Purpose of the Special Meeting",19,26,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Record Date and Quorum,19,26,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Attendance,19,26,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Vote Required,19,26,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Shares Owned by Our Directors and Executive Officers,21,28,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Proxies and Revocation,21,28,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Adjournments and Recesses,22,29,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Appraisal Rights,22,29,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Solicitation of Proxies; Payment of Solicitation Expenses,22,29,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Questions and Additional Information,22,29,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,PARTIES TO THE MERGER,23,30,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,THE MERGER,24,18,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Effects of the Merger,24,31,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Background of the Merger,24,31,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Reasons for the Merger; Recommendation of the Board of Directors,31,38,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Opinion of Financial Advisor,35,42,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Financial Forecasts,39,46,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Financial Projections,40,47,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Financing of the Merger,41,48,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Closing and Effective Time of the Merger,41,48,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Payment of Merger Consideration and Surrender of Stock Certificates,42,49,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Interests of Certain Persons in the Merger,42,49,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Certain Assumptions,42,49,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Golden Parachute Compensation,48,55,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Accounting Treatment,50,57,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,U.S. Federal Income Tax Consequences of the Merger,50,57,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Regulatory Approvals,52,59,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Litigation Relating to the Merger,53,60,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,THE MERGER AGREEMENT (PROPOSAL ONE),54,61,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,NONBINDING ADVISORY PROPOSAL REGARDING “GOLDEN PARACHUTE” COMPENSATION (PROPOSAL TWO),55,62,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,AUTHORITY TO ADJOURN THE SPECIAL MEETING (PROPOSAL THREE),56,63,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,SUMMARY OF THE MERGER AGREEMENT,57,64,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Explanatory Note Regarding the Merger Agreement,57,64,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,The Merger,57,18,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Closing and Effective Time,57,48,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Merger Consideration,58,49,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Delivery of Merger Consideration and Procedures for Surrender,58,65,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Appraisal Rights,59,66,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Treatment of Equity Awards,59,66,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Representations and Warranties,60,67,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Definition of Material Adverse Effect,62,69,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Covenants Relating to the Conduct of the Company’s Business,62,69,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Restrictions on the Solicitation of Other Offers,64,71,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Restrictions on Changes of Recommendation to Company Shareholders,65,72,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Special Meeting,66,73,UNDEFINED,UNDEFINED
ROGERS CORP_20211216_DEFM14A_19721647_4352864.Pdf,Cooperation and Efforts to Consummate,67,74,UNDEFINED,UNDEFINED
