Document,Section Header,Section Text,Page Number
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Regulatory Approvals Required for the Mergers,UNDEFINED,100
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",THE MERGER AGREEMENT,UNDEFINED,102
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Explanatory Note Regarding the Merger Agreement,UNDEFINED,102
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Effects of the Mergers,UNDEFINED,102
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Closing and Effective Time of the Mergers,UNDEFINED,103
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Consideration To Be Received in the Mergers,UNDEFINED,103
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Excluded Shares of Company Capital Stock and OpCo Common Units,UNDEFINED,104
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Treatment of Company Equity Awards,UNDEFINED,104
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Treatment of Employee Stock Purchase Plan and Company Stock Plan,UNDEFINED,105
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Exchange and Payment Procedures,UNDEFINED,105
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Appraisal Rights,UNDEFINED,105
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Representations and Warranties,UNDEFINED,106
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Covenants Regarding Conduct of Business by the Company Pending the Company Merger Effective Time,UNDEFINED,109
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",No Solicitation,UNDEFINED,112
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Change in Company Board Recommendation,UNDEFINED,114
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Efforts to Obtain the Company Stockholder Approval,UNDEFINED,116
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Efforts to Consummate the Mergers,UNDEFINED,116
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Company Indebtedness,UNDEFINED,118
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Financing,UNDEFINED,121
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Indemnification and Insurance,UNDEFINED,122
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Employee Benefits Matters,UNDEFINED,122
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Additional Agreements,UNDEFINED,123
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Conditions to the Closing of the Mergers,UNDEFINED,123
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Termination of the Merger Agreement,UNDEFINED,124
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Termination Fees,UNDEFINED,126
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Fees and Expenses,UNDEFINED,127
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Withholding Taxes,UNDEFINED,127
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Amendment or Supplement,UNDEFINED,127
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf","Extension of Time, Waiver, etc.",UNDEFINED,127
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Governing Law,UNDEFINED,127
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Specific Enforcement,UNDEFINED,128
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",PROPOSAL 2: THE ADVISORY COMPENSATION PROPOSAL,UNDEFINED,129
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",PROPOSAL 3: THE ADJOURNMENT PROPOSAL,UNDEFINED,130
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",SECURITY OWNERSHIP OF CERTAIN BENEFICIAL OWNERS AND MANAGEMENT,UNDEFINED,131
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",FUTURE STOCKHOLDER PROPOSALS,UNDEFINED,135
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",WHERE YOU CAN FIND MORE INFORMATION,UNDEFINED,136
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",MISCELLANEOUS,UNDEFINED,137
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf","Annex A Agreement and Plan of Merger, dated as of March 1, 2023",UNDEFINED,A-1
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Annex B Opinion of Citigroup Global Markets Inc.,UNDEFINED,B-1
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Annex C Opinion of Goldman Sachs & Co. LLC,UNDEFINED,C-1
"Radius Global Infrastructure, Inc._20230505_DEFM14A_20858042_4661091.Pdf",Annex D Opinion of Barclays Capital Inc.,UNDEFINED,D-1
