Document,Section Header,Referenced Page Number,Zero Indexed Page Number,Classification,Section Text
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,FREQUENTLY USED TERMS,v,13,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,QUESTIONS AND ANSWERS ABOUT THE TRANSACTION AND THE RANGER SPECIAL MEETING,xiii,21,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,SUMMARY,1,31,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,The Merger Transactions and the Merger Agreement,1,31,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,Merger Consideration,2,32,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,Ranger Board of Directors’ Recommendation,2,32,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,Comparative Per Share Market Price Information,2,32,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,Opinion of Ranger’s Financial Advisor,3,33,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,The Ranger Special Meeting,3,21,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,Recommendation of the Ranger Board; Ranger’s Reasons for the Merger Transactions,4,34,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,Interests of Ranger’s Directors and Executive Officers in the Merger,4,34,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,The Baytex Annual and Special Meeting and Shareholder Approval,4,34,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,Listing of Baytex Common Shares,5,35,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,Delisting and Deregistration of Ranger Common Stock,5,35,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,Material U.S. Federal Income Tax Consequences of the Company Merger to Holders of Ranger Class A Common Stock,5,35,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,Accounting Treatment of the Merger Transactions,5,35,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,Regulatory Approvals Required for the Merger Transactions,6,36,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,Treatment of Ranger Equity Awards,6,36,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,No Appraisal Rights,7,37,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,Restrictions on Resales of Baytex Common Shares Received in the Transaction,7,37,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,The Support Agreement,7,37,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,Investor and Registration Rights Agreement,7,37,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,Conditions to the Transaction,8,38,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,No Solicitation,9,39,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,Debt Financing,10,40,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,Termination of the Merger Agreement,10,40,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,Historical and Unaudited Pro Forma Consolidated Financial Information,11,41,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,Summary Pro Forma Combined Proved Reserves and Production Data,13,43,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,Summary of Risk Factors,15,45,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,RISK FACTORS,17,45,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,Risks Relating to the Merger Transactions,17,47,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,Risks Relating to Ranger’s and Baytex’s Business,29,59,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,Risks Relating to Investing in and Ownership of the Baytex Common Shares following the Company Merger,36,66,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,CAUTIONARY STATEMENT REGARDING FORWARD-LOOKING STATEMENTS,39,69,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,COMPARATIVE PER SHARE MARKET PRICE AND DIVIDEND INFORMATION,42,72,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,THE MERGER,44,31,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,Transaction Structure,44,74,UNDEFINED,UNDEFINED
Ranger Oil Corp_20230518_DEFM14A_20894462_4669228.Pdf,Merger Consideration,44,74,UNDEFINED,UNDEFINED
